State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,303,6,40
Ohio,268,4,31
Texas,225,10,42
Georgia,216,2,23
South Carolina,174,4,32
Indiana,172,4,24
California,168,7,38
Iowa,133,3,18
Florida,130,6,34
Pennsylvania,122,2,19
Michigan,121,4,20
Mississippi,120,4,18
Oklahoma,115,3,27
Washington,98,2,11
Louisiana,88,5,19
North Carolina,85,7,19
Kentucky,79,3,16
Virginia,76,3,17
Oregon,69,2,13
Arkansas,66,1,8
Utah,49,3,8
Arizona,48,1,10
Massachusetts,46,1,6
Nevada,44,1,5
Minnesota,35,1,8
Illinois,34,2,5
Wisconsin,32,1,6
Tennessee,27,4,12
Colorado,18,2,3
Missouri,17,2,7
Idaho,15,1,1
New York,14,2,5
Maryland,13,2,6
New Jersey,11,1,4
Connecticut,10,1,2
West Virginia,9,2,4
Wyoming,6,1,1
Nebraska,2,1,2
North Dakota,2,1,2
South Dakota,2,1,1
Hawaii,1,1,1
