State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,284,6,40
Ohio,272,5,33
Texas,239,11,48
Georgia,221,2,23
California,167,7,40
South Carolina,162,4,33
Indiana,160,4,24
Michigan,140,4,21
Iowa,133,3,19
Pennsylvania,131,2,20
Florida,129,7,37
Mississippi,115,4,18
Oklahoma,111,3,29
Washington,102,2,11
North Carolina,101,7,20
Virginia,93,3,19
Louisiana,85,5,19
Kentucky,75,3,17
Oregon,72,2,13
Arkansas,63,1,8
Utah,53,3,8
Massachusetts,49,1,6
Arizona,45,1,10
Nevada,45,1,5
Tennessee,36,5,14
Minnesota,32,1,8
Wisconsin,32,1,6
Illinois,30,2,5
Missouri,19,2,7
Colorado,17,2,3
Maryland,16,2,6
New York,12,3,6
New Jersey,10,1,4
Idaho,10,1,1
Connecticut,9,1,2
Wyoming,7,1,1
West Virginia,6,2,4
Nebraska,3,1,3
North Dakota,2,1,2
South Dakota,1,1,1
Kansas,1,1,1
Hawaii,1,1,1
