State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,296,6,40
Ohio,263,3,30
Texas,240,10,43
Georgia,209,2,23
South Carolina,178,4,32
Indiana,168,4,24
California,167,7,37
Iowa,136,3,18
Florida,131,6,34
Mississippi,123,4,18
Oklahoma,115,3,27
Pennsylvania,113,2,19
Michigan,110,4,20
Washington,101,2,11
North Carolina,95,7,19
Louisiana,87,5,19
Virginia,76,3,16
Kentucky,73,3,16
Oregon,69,2,13
Arkansas,61,1,8
Utah,50,3,8
Arizona,47,1,10
Massachusetts,44,1,6
Nevada,42,1,5
Minnesota,40,1,8
Wisconsin,32,1,6
Illinois,32,2,5
Tennessee,29,4,12
Colorado,23,2,3
Idaho,20,1,1
Missouri,17,2,7
New York,14,2,5
New Jersey,13,1,4
Maryland,12,2,6
Connecticut,12,1,2
West Virginia,9,2,4
Wyoming,7,1,1
Nebraska,2,1,2
North Dakota,2,1,2
South Dakota,2,1,1
Hawaii,1,1,1
