State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,295,6,40
Ohio,279,3,30
Texas,232,10,42
Georgia,215,2,23
South Carolina,187,4,32
California,170,7,37
Florida,158,6,34
Indiana,153,4,24
Oklahoma,125,3,27
Iowa,119,3,18
Washington,110,2,11
Michigan,108,4,20
Mississippi,108,4,18
Pennsylvania,106,2,16
North Carolina,104,7,19
Virginia,86,3,16
Louisiana,78,5,17
Oregon,76,2,13
Kentucky,73,3,16
Arkansas,67,1,8
Utah,51,3,8
Arizona,50,1,10
Nevada,44,1,5
Massachusetts,37,1,6
Minnesota,35,1,7
Tennessee,31,4,12
Wisconsin,30,1,6
Illinois,28,2,4
Colorado,17,2,3
Maryland,15,2,5
Idaho,15,1,1
New York,11,2,5
West Virginia,9,2,4
Missouri,8,2,7
New Jersey,8,1,4
Connecticut,5,1,1
Nebraska,2,1,2
North Dakota,2,1,1
Wyoming,1,1,1
Hawaii,1,1,1
