State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,295,5,35
Alabama,258,5,40
Texas,236,11,51
Georgia,208,2,24
Michigan,169,4,24
California,162,7,41
Pennsylvania,150,2,23
Indiana,145,4,23
South Carolina,142,4,32
Iowa,138,3,20
Florida,132,7,35
Mississippi,130,4,19
North Carolina,117,7,24
Washington,98,2,12
Oklahoma,94,3,28
Louisiana,92,7,22
Kentucky,80,3,17
Virginia,71,3,19
Arkansas,68,1,8
Oregon,67,2,12
Utah,53,3,8
Nevada,45,1,6
Massachusetts,40,1,7
Tennessee,39,5,15
Minnesota,37,1,8
Arizona,36,1,9
Illinois,34,2,6
Wisconsin,27,1,6
Colorado,22,2,3
Missouri,17,2,7
Idaho,15,1,1
Nebraska,14,1,3
North Dakota,13,1,4
Maryland,12,2,6
New York,11,3,6
Connecticut,11,1,2
Wyoming,10,1,1
New Jersey,9,1,4
West Virginia,8,2,4
South Dakota,6,1,1
Montana,1,1,1
Kansas,1,1,1
Hawaii,1,1,1
