State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,271,10,45
Ohio,252,8,26
Georgia,241,3,21
Alabama,212,6,22
Michigan,186,5,26
California,151,7,36
Pennsylvania,151,2,15
Indiana,131,4,17
Mississippi,116,3,16
South Carolina,114,4,18
Iowa,114,3,16
North Carolina,111,7,26
Florida,109,7,23
Louisiana,109,7,21
Oklahoma,98,3,22
Kentucky,87,3,13
Washington,78,2,8
Virginia,75,3,14
Utah,63,4,11
Oregon,61,2,10
Tennessee,54,4,11
Arkansas,49,2,8
Minnesota,47,1,6
Arizona,38,1,9
Nevada,37,1,4
Colorado,34,3,7
Massachusetts,32,1,7
Nebraska,26,1,7
Missouri,25,4,9
Wisconsin,23,1,5
Illinois,18,1,7
North Dakota,15,2,3
Idaho,13,3,4
Connecticut,13,2,3
New Jersey,10,1,5
Wyoming,10,1,1
New York,9,3,5
South Dakota,9,1,3
Maryland,8,2,4
Montana,5,1,1
Rhode Island,5,1,1
West Virginia,4,2,3
Kansas,3,3,3
