State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,268,11,47
Ohio,262,9,29
Georgia,256,4,24
Alabama,212,6,24
Michigan,202,5,27
Pennsylvania,149,4,17
California,147,7,40
Iowa,122,3,18
North Carolina,118,10,35
Oklahoma,116,3,24
Florida,115,7,28
Indiana,115,5,20
Mississippi,109,4,18
South Carolina,106,4,19
Louisiana,98,7,21
Washington,82,3,10
Virginia,80,5,20
Kentucky,77,3,14
Tennessee,60,5,13
Oregon,57,2,10
Utah,55,4,12
Arkansas,49,2,8
Minnesota,46,1,9
Massachusetts,45,3,10
Wisconsin,38,1,8
Arizona,30,2,10
North Dakota,30,2,5
Missouri,27,5,11
Nebraska,27,1,7
Colorado,26,4,7
Nevada,25,2,5
Illinois,23,3,14
Connecticut,22,2,3
Idaho,16,3,5
Wyoming,15,1,1
Maryland,14,2,4
New Jersey,11,1,5
Kansas,11,3,5
New York,10,3,5
South Dakota,10,1,4
Montana,10,1,1
West Virginia,3,2,3
Rhode Island,2,1,1
Hawaii,1,1,1
Ontario,1,1,1
