State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,279,10,46
Ohio,248,8,26
Georgia,238,4,22
Alabama,210,6,23
Michigan,189,5,26
California,162,7,37
Pennsylvania,144,2,15
Indiana,130,4,19
Florida,119,7,25
Iowa,116,3,17
North Carolina,109,7,28
South Carolina,108,4,18
Mississippi,105,3,16
Oklahoma,102,3,22
Louisiana,101,7,22
Kentucky,83,3,14
Washington,78,2,9
Virginia,76,4,16
Utah,63,4,12
Oregon,61,2,10
Minnesota,53,1,7
Tennessee,52,4,12
Arkansas,47,2,8
Arizona,39,2,10
Massachusetts,38,1,8
Nevada,34,1,4
Colorado,31,3,7
Wisconsin,30,1,6
Nebraska,28,1,8
Connecticut,23,2,3
Illinois,22,2,10
Missouri,21,4,9
North Dakota,21,2,4
Wyoming,15,1,1
Idaho,13,3,4
New Jersey,10,1,5
Montana,10,1,1
New York,9,3,5
Maryland,9,2,4
South Dakota,9,1,3
Kansas,3,3,3
West Virginia,3,2,2
Rhode Island,2,1,1
