State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,268,5,33
Georgia,236,3,23
Texas,235,10,43
Alabama,211,4,28
Michigan,190,4,26
California,155,7,36
Pennsylvania,151,3,17
South Carolina,132,4,24
Indiana,129,4,19
Mississippi,129,4,18
Iowa,118,3,16
Florida,114,8,23
North Carolina,112,7,20
Oklahoma,109,3,25
Louisiana,103,6,21
Kentucky,92,3,14
Washington,92,2,12
Virginia,78,3,19
Oregon,67,2,11
Utah,63,4,11
Tennessee,48,4,13
Arkansas,47,2,6
Nevada,38,1,5
Arizona,35,1,8
Wisconsin,32,1,6
Massachusetts,30,1,5
Minnesota,30,1,5
Nebraska,24,1,5
Colorado,23,2,4
Missouri,21,2,7
Illinois,16,3,7
Connecticut,16,1,2
North Dakota,15,2,4
West Virginia,11,2,3
Idaho,11,2,2
Wyoming,10,1,1
New York,9,3,5
New Jersey,8,1,4
South Dakota,8,1,2
Maryland,5,2,4
Montana,5,1,1
Rhode Island,2,1,1
Kansas,1,1,1
