State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Ohio,287,5,36
Alabama,252,5,37
Texas,251,11,51
Georgia,226,2,24
Michigan,184,4,28
California,156,7,41
Pennsylvania,155,3,23
Iowa,147,3,23
Indiana,146,4,23
Florida,144,8,32
Mississippi,127,4,19
South Carolina,126,4,30
North Carolina,126,7,26
Oklahoma,98,3,28
Washington,90,2,11
Kentucky,88,3,16
Louisiana,87,7,23
Virginia,72,3,20
Oregon,64,2,12
Utah,54,4,12
Arkansas,51,1,7
Tennessee,41,4,14
Nevada,40,1,5
Massachusetts,39,1,7
Arizona,34,1,8
Minnesota,34,1,6
Illinois,25,2,6
Wisconsin,24,1,8
Missouri,23,2,8
Colorado,22,2,3
Nebraska,21,1,4
North Dakota,13,1,4
Connecticut,11,1,2
New York,10,3,6
Wyoming,10,1,1
Idaho,10,1,1
South Dakota,8,1,2
New Jersey,7,1,3
Maryland,5,2,5
West Virginia,5,2,4
Rhode Island,2,1,1
Montana,1,1,1
Kansas,1,1,1
Hawaii,1,1,1
