State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,306,6,40
Ohio,279,3,27
Texas,262,10,42
Georgia,216,3,21
South Carolina,184,4,32
California,169,7,34
Indiana,162,4,23
Florida,139,6,30
Iowa,128,3,17
Oklahoma,121,3,25
Mississippi,109,4,16
Washington,107,2,10
Pennsylvania,104,2,15
North Carolina,103,6,16
Michigan,95,4,17
Louisiana,77,5,15
Arkansas,73,1,8
Virginia,72,3,14
Oregon,64,2,11
Kentucky,56,3,13
Nevada,47,1,5
Arizona,38,1,8
Utah,37,3,8
Tennessee,35,4,12
Massachusetts,35,1,6
Minnesota,31,1,6
Illinois,29,2,4
Wisconsin,26,1,6
West Virginia,18,2,4
Missouri,16,2,7
Maryland,13,2,5
Colorado,13,2,3
New York,12,2,5
New Jersey,10,1,4
Idaho,10,1,1
Connecticut,8,1,1
Nebraska,4,1,2
North Dakota,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
