State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,264,11,52
Ohio,253,9,32
Georgia,253,6,26
Alabama,203,7,27
Michigan,202,5,28
California,152,7,40
Pennsylvania,143,4,18
Iowa,125,3,18
Oklahoma,123,3,25
Florida,121,8,30
North Carolina,120,10,36
Indiana,117,5,24
Mississippi,110,4,20
Louisiana,105,7,21
South Carolina,93,4,19
Washington,82,3,11
Kentucky,81,3,14
Virginia,79,5,20
Tennessee,77,5,13
Utah,57,4,13
Oregon,57,2,11
Minnesota,51,1,9
Arkansas,47,2,8
Massachusetts,40,5,12
Wisconsin,39,1,9
Arizona,37,2,11
North Dakota,33,2,5
Nebraska,31,1,7
Illinois,27,3,14
Missouri,27,5,11
Colorado,27,4,8
Nevada,25,2,5
Connecticut,24,3,4
Wyoming,21,1,2
Maryland,18,2,4
Idaho,16,3,6
South Dakota,12,2,6
Montana,12,2,3
New Jersey,11,1,5
Kansas,7,3,5
New York,6,3,5
Rhode Island,5,1,1
West Virginia,4,2,4
Hawaii,1,1,1
Ontario,1,1,1
