State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Alabama,283,5,40
Ohio,268,5,35
Texas,232,11,50
Georgia,213,2,23
California,169,7,39
Indiana,169,4,24
Michigan,159,4,25
South Carolina,154,4,33
Pennsylvania,140,2,23
Florida,133,7,35
Iowa,133,3,19
Mississippi,111,4,18
North Carolina,106,7,22
Oklahoma,103,3,28
Washington,94,2,12
Virginia,86,3,19
Louisiana,85,5,20
Kentucky,80,3,17
Oregon,73,2,12
Arkansas,63,1,8
Utah,54,3,8
Massachusetts,52,1,8
Nevada,47,1,6
Arizona,44,1,9
Tennessee,41,5,15
Illinois,33,2,6
Minnesota,30,1,8
Wisconsin,28,1,6
Missouri,19,2,7
Colorado,17,2,3
Maryland,13,2,6
New York,12,3,6
Connecticut,11,1,2
Idaho,10,1,1
New Jersey,9,1,4
Nebraska,7,1,3
Wyoming,7,1,1
North Dakota,5,1,3
Montana,5,1,1
West Virginia,4,2,4
South Dakota,2,1,1
,2,1,1
Kansas,1,1,1
Hawaii,1,1,1
