State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,327,11,62
Ohio,271,5,33
Florida,209,7,55
Georgia,185,4,27
Michigan,168,4,22
Mississippi,140,3,21
Oregon,137,2,23
California,128,9,32
Alabama,127,6,24
Louisiana,119,5,20
Pennsylvania,116,4,21
Iowa,115,3,19
South Carolina,112,4,26
Indiana,108,3,24
Kentucky,94,4,21
North Carolina,93,8,24
Colorado,90,2,14
Arizona,72,2,9
Tennessee,68,3,19
Virginia,65,5,20
Missouri,65,2,10
Kansas,57,2,15
Oklahoma,51,3,19
Arkansas,51,4,17
Massachusetts,49,3,8
West Virginia,48,2,10
Minnesota,44,2,12
Idaho,42,1,4
Maryland,31,4,12
North Dakota,31,1,2
Utah,30,3,16
New York,30,2,10
Nebraska,27,1,9
New Jersey,22,1,9
Washington,20,3,9
Wisconsin,14,1,5
Illinois,13,4,8
Nevada,13,2,4
Connecticut,10,1,4
Delaware,3,1,2
Montana,2,1,2
South Dakota,2,2,2
Vermont,2,1,1
Washington DC,1,1,1
Canada,1,1,1
New Hampshire,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
New Mexico,1,1,1
