State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,368,12,87
Ohio,288,5,38
Florida,224,8,71
Michigan,182,4,28
Georgia,174,4,33
Mississippi,163,4,29
Oregon,140,2,26
Indiana,133,3,31
Louisiana,120,5,24
Alabama,120,6,23
South Carolina,117,4,29
California,110,9,39
Pennsylvania,107,3,20
Colorado,103,3,18
Tennessee,90,3,23
Kentucky,90,3,19
North Carolina,89,9,32
Iowa,89,3,19
Missouri,79,1,13
Arizona,78,2,16
Virginia,66,7,29
West Virginia,64,2,15
Oklahoma,57,3,28
Arkansas,56,3,16
Minnesota,56,2,11
Kansas,48,2,15
Utah,47,3,20
Idaho,39,1,5
Massachusetts,36,3,10
Maryland,34,2,9
Illinois,28,3,13
New York,28,2,11
New Jersey,24,1,9
Nebraska,23,1,12
North Dakota,15,1,1
Wisconsin,14,1,7
Washington,13,3,9
Nevada,10,2,4
Connecticut,9,1,3
Delaware,6,1,2
Montana,6,1,2
Wyoming,2,1,2
Washington DC,2,1,1
South Dakota,1,1,1
Vermont,1,1,1
Hawaii,1,1,1
