State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,364,15,110
Ohio,277,6,45
Georgia,215,4,37
Florida,199,8,80
Michigan,190,4,29
Alabama,181,6,41
Louisiana,145,6,30
Mississippi,145,3,28
Pennsylvania,144,4,27
Oregon,141,2,29
Indiana,138,3,34
South Carolina,134,4,37
Iowa,103,3,24
North Carolina,99,9,38
Colorado,98,3,17
California,96,8,44
Kentucky,93,3,22
Tennessee,84,3,23
Arizona,76,2,18
Oklahoma,74,3,31
Virginia,62,5,28
Missouri,61,1,14
West Virginia,59,2,15
Minnesota,47,1,8
Arkansas,45,3,17
Utah,42,3,22
Kansas,41,2,15
Massachusetts,34,3,10
Idaho,33,1,4
Illinois,31,3,14
Maryland,27,2,10
New York,24,1,9
Nebraska,23,1,14
New Jersey,20,1,9
Washington,17,2,12
North Dakota,15,1,1
Wisconsin,13,1,10
Nevada,13,2,5
Connecticut,9,1,4
Wyoming,6,1,2
Montana,2,1,2
Washington DC,2,1,1
South Dakota,2,1,1
Delaware,1,1,1
Vermont,1,1,1
Hawaii,1,1,1
