State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,332,13,102
Ohio,322,5,45
Georgia,256,3,36
Michigan,183,4,25
Alabama,170,5,41
Florida,159,7,69
South Carolina,157,3,36
Louisiana,148,3,27
Kentucky,144,2,29
Indiana,138,4,31
Oregon,138,2,24
Pennsylvania,130,4,24
Oklahoma,129,3,35
Mississippi,117,4,28
Colorado,117,2,19
California,110,8,40
Arizona,104,2,16
Iowa,95,3,22
North Carolina,93,8,36
Tennessee,80,3,23
Virginia,54,4,21
Missouri,54,1,7
West Virginia,43,2,14
Arkansas,42,2,13
Wisconsin,40,1,13
Utah,35,3,20
Kansas,34,2,10
Idaho,26,1,2
Minnesota,20,1,6
New Jersey,13,2,7
Maryland,13,1,5
Nevada,12,1,3
Nebraska,11,1,11
New York,11,1,7
Illinois,8,3,8
Washington,8,2,7
Massachusetts,8,2,4
Wyoming,5,1,1
Connecticut,4,2,3
Montana,3,1,2
South Dakota,2,1,1
Washington DC,1,1,1
