State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,359,12,81
Ohio,291,5,39
Florida,219,8,71
Michigan,180,4,28
Georgia,178,4,33
Mississippi,161,4,29
Oregon,137,2,26
Indiana,131,3,31
South Carolina,127,4,29
Alabama,126,6,23
Louisiana,123,5,25
California,113,9,39
Pennsylvania,101,3,20
Colorado,99,3,18
North Carolina,96,9,32
Kentucky,92,3,19
Iowa,88,3,19
Tennessee,79,3,23
Arizona,79,2,16
Missouri,76,1,13
Virginia,72,7,29
West Virginia,68,2,15
Oklahoma,52,3,28
Minnesota,51,2,11
Kansas,48,2,15
Arkansas,46,3,16
Idaho,44,1,6
Maryland,42,3,10
Utah,40,3,20
Massachusetts,40,3,10
New York,31,2,11
Nebraska,24,1,12
New Jersey,23,1,9
Illinois,21,3,13
North Dakota,20,1,1
Wisconsin,17,1,7
Washington,14,3,8
Nevada,10,2,4
Connecticut,9,1,3
Delaware,6,1,2
Washington DC,5,1,1
Montana,3,1,2
Wyoming,2,1,2
Canada,2,1,1
South Dakota,1,1,1
Vermont,1,1,1
Hawaii,1,1,1
