State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,371,13,101
Ohio,324,5,46
Georgia,214,3,35
Alabama,185,4,39
Michigan,183,4,27
Florida,172,7,67
Indiana,167,4,30
Louisiana,162,3,29
South Carolina,144,3,36
Mississippi,138,4,29
Oregon,132,2,22
Kentucky,130,2,29
Pennsylvania,123,2,22
North Carolina,122,8,35
Oklahoma,120,3,35
Colorado,115,2,18
Iowa,95,3,18
Arizona,90,2,15
California,87,7,39
Tennessee,73,3,20
Virginia,51,4,19
Missouri,45,1,6
Arkansas,44,3,12
Utah,37,3,18
Kansas,35,2,9
West Virginia,34,2,12
Wisconsin,32,1,12
Idaho,21,1,2
Illinois,12,3,8
Washington,12,2,7
Nebraska,11,1,11
New Jersey,11,2,6
New York,8,1,8
Connecticut,8,2,2
Washington DC,8,1,1
Nevada,7,1,3
Maryland,5,1,5
Minnesota,5,1,5
Massachusetts,3,2,3
