State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,343,14,112
Ohio,290,6,46
Georgia,241,4,38
Michigan,209,4,25
Florida,190,8,76
South Carolina,152,3,34
Alabama,148,5,40
Louisiana,148,5,30
Oklahoma,143,3,35
Kentucky,132,3,30
Mississippi,131,3,28
Oregon,130,2,25
Pennsylvania,123,4,25
California,120,8,39
Indiana,113,4,31
North Carolina,111,7,35
Colorado,107,2,15
Arizona,105,2,18
Virginia,90,6,29
Iowa,72,3,24
Missouri,59,1,11
Tennessee,55,3,20
Minnesota,53,1,7
Utah,50,3,24
Arkansas,43,3,15
Wisconsin,35,1,11
Idaho,33,1,4
Kansas,30,2,13
West Virginia,27,2,13
Maryland,23,1,7
Nebraska,18,1,13
Washington,17,2,8
Illinois,15,3,11
New Jersey,12,1,6
New York,9,1,9
Massachusetts,8,3,8
Connecticut,8,1,3
North Dakota,8,1,2
Nevada,7,2,6
Montana,6,1,2
Vermont,6,1,1
Wyoming,5,1,1
Hawaii,1,1,1
South Dakota,1,1,1
Washington DC,1,1,1
