State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,379,12,87
Ohio,289,5,39
Florida,204,8,71
Georgia,199,4,33
Michigan,184,4,26
Mississippi,153,3,28
Oregon,153,2,26
Indiana,128,3,31
South Carolina,125,4,30
Louisiana,125,5,24
Alabama,118,5,23
Pennsylvania,104,3,19
Iowa,102,3,19
Colorado,97,3,16
North Carolina,96,9,30
Kentucky,93,3,19
California,88,8,36
Tennessee,81,3,21
Arizona,78,2,16
Virginia,68,5,27
Oklahoma,63,3,27
West Virginia,63,2,15
Missouri,63,1,13
Minnesota,55,2,10
Kansas,50,2,14
Arkansas,44,3,16
Idaho,39,1,5
Utah,38,3,19
Maryland,32,2,9
New York,31,1,10
Massachusetts,30,3,10
Illinois,29,3,13
New Jersey,26,1,9
Nebraska,21,1,10
North Dakota,15,1,1
Wisconsin,13,1,7
Wyoming,10,1,2
Washington,8,2,8
Connecticut,8,1,3
Nevada,6,2,2
Montana,3,1,2
Washington DC,2,1,1
Delaware,1,1,1
Vermont,1,1,1
Hawaii,1,1,1
