State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,377,12,87
Ohio,304,5,38
Florida,209,8,71
Georgia,189,4,34
Michigan,180,4,28
Mississippi,161,4,29
Indiana,139,3,31
Oregon,138,2,26
Louisiana,130,5,24
Alabama,119,6,23
South Carolina,116,4,29
Colorado,110,3,18
Pennsylvania,105,3,19
North Carolina,101,9,32
California,100,9,38
Iowa,95,3,19
Kentucky,90,3,19
Tennessee,79,3,23
Arizona,78,2,16
Virginia,67,7,29
Missouri,67,1,13
Oklahoma,60,3,28
West Virginia,59,2,15
Arkansas,51,3,16
Minnesota,50,2,10
Kansas,49,2,15
Utah,42,3,20
Maryland,38,2,9
Idaho,34,1,5
New York,30,2,11
Illinois,27,3,13
Massachusetts,27,3,10
New Jersey,25,1,9
Nebraska,22,1,12
Wisconsin,17,1,7
Nevada,15,2,4
Connecticut,10,1,3
North Dakota,10,1,1
Washington,8,2,8
Delaware,6,1,2
Washington DC,5,1,1
Montana,3,1,2
Wyoming,2,1,2
South Dakota,1,1,1
Vermont,1,1,1
Hawaii,1,1,1
