State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,367,15,123
Ohio,301,6,51
Georgia,213,4,39
Florida,203,8,84
Michigan,190,4,29
Alabama,183,6,43
Louisiana,164,6,34
Mississippi,153,3,29
South Carolina,144,4,37
Oregon,139,2,29
Pennsylvania,131,4,28
Indiana,125,4,35
North Carolina,110,9,40
California,104,8,45
Kentucky,102,3,30
Arizona,97,2,20
Colorado,95,3,18
Iowa,93,3,25
Oklahoma,92,3,37
Tennessee,80,3,25
Virginia,77,6,31
Missouri,63,1,14
West Virginia,54,2,15
Utah,49,3,24
Arkansas,49,3,18
Minnesota,43,1,8
Kansas,41,2,16
Idaho,33,1,4
Massachusetts,32,3,11
Maryland,29,2,10
Illinois,28,4,15
New York,25,1,10
Wisconsin,23,1,11
Nebraska,19,1,14
New Jersey,17,1,8
Washington,16,2,11
North Dakota,16,1,2
Nevada,15,2,5
Connecticut,8,1,4
Washington DC,5,1,1
Montana,2,1,2
Wyoming,2,1,2
Delaware,1,1,1
Vermont,1,1,1
South Dakota,1,1,1
Hawaii,1,1,1
