State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,433,7,31
Georgia,254,2,13
Alabama,187,1,14
Florida,177,5,13
Pennsylvania,173,2,8
South Carolina,146,2,8
Ohio,133,1,9
Louisiana,118,1,6
Oklahoma,115,3,10
Kentucky,115,1,7
California,96,4,7
Michigan,76,2,5
North Carolina,59,2,6
Mississippi,50,2,3
Iowa,45,1,3
Indiana,45,1,2
Oregon,42,2,3
Missouri,30,1,1
Maryland,26,1,2
Arizona,26,1,2
Colorado,26,1,2
Utah,20,2,3
Tennessee,20,2,3
Illinois,20,1,1
West Virginia,19,1,3
Wisconsin,15,1,2
Connecticut,7,1,1
Virginia,6,1,1
