State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,355,11,60
Ohio,287,5,32
Florida,197,7,54
Georgia,171,4,27
Michigan,169,4,22
Mississippi,148,3,19
Oregon,137,2,22
Alabama,128,5,23
South Carolina,113,4,25
Indiana,113,3,23
California,112,9,29
Louisiana,112,4,19
Iowa,103,3,18
Pennsylvania,102,3,19
Colorado,97,2,13
North Carolina,87,8,22
Kentucky,84,4,20
Tennessee,77,3,18
Arizona,75,2,9
Missouri,74,2,9
Virginia,66,5,20
Kansas,50,2,15
Oklahoma,48,3,17
Minnesota,47,2,12
West Virginia,47,2,9
Arkansas,46,4,16
Idaho,42,1,4
Massachusetts,41,3,8
Maryland,34,4,11
Utah,29,3,15
New York,29,2,10
Nebraska,27,1,9
North Dakota,25,1,1
New Jersey,22,1,9
Illinois,15,4,8
Washington,15,3,8
Wisconsin,11,1,5
Nevada,10,2,4
Connecticut,9,1,3
Delaware,6,1,2
Vermont,5,1,1
Montana,2,1,2
Washington DC,1,1,1
Canada,1,1,1
South Dakota,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
New Mexico,1,1,1
