State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,347,14,112
Ohio,273,6,46
Georgia,243,4,38
Florida,202,8,75
Michigan,192,4,25
South Carolina,163,3,34
Alabama,153,5,40
Oklahoma,149,3,35
Louisiana,143,4,29
Kentucky,133,3,30
Pennsylvania,132,4,25
Mississippi,130,3,28
Oregon,118,2,25
California,116,8,38
Indiana,113,4,31
Colorado,113,2,15
Arizona,111,2,18
North Carolina,103,7,35
Virginia,85,6,29
Iowa,76,3,24
Tennessee,64,3,20
Missouri,61,1,11
Utah,53,3,24
Arkansas,48,3,15
Minnesota,44,1,7
West Virginia,33,2,13
Idaho,33,1,4
Wisconsin,29,1,11
Kansas,26,2,13
Nebraska,21,1,13
Maryland,18,1,7
Washington,17,2,8
New Jersey,16,1,6
Illinois,15,3,11
New York,10,1,9
Massachusetts,8,3,8
Connecticut,8,1,3
Nevada,7,2,6
Montana,6,1,2
Wyoming,5,1,1
North Dakota,3,1,2
South Dakota,2,1,1
Washington DC,1,1,1
Hawaii,1,1,1
