State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,359,13,105
Ohio,312,5,46
Georgia,252,3,36
Michigan,207,4,28
Florida,177,7,70
Alabama,160,4,41
Louisiana,146,3,29
Indiana,145,4,33
Pennsylvania,143,2,23
South Carolina,138,3,37
Kentucky,137,2,29
Mississippi,136,4,29
Oklahoma,132,3,36
Oregon,131,2,22
Colorado,122,2,18
California,110,7,41
Arizona,104,2,16
North Carolina,97,8,36
Iowa,90,3,20
Tennessee,72,3,20
Missouri,46,1,7
Arkansas,41,3,14
Wisconsin,41,1,13
Virginia,40,4,20
Utah,33,3,18
West Virginia,33,2,13
Kansas,30,2,9
Idaho,21,1,2
Minnesota,19,1,6
Nebraska,13,1,11
Maryland,13,1,5
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
Nevada,11,1,3
New York,9,1,8
Illinois,8,3,8
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
