State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,393,14,119
Ohio,298,6,47
Georgia,231,4,39
Michigan,194,4,25
Alabama,192,5,41
Florida,191,8,79
Louisiana,161,6,31
Pennsylvania,141,4,27
Mississippi,138,3,28
South Carolina,128,3,34
Oregon,119,2,28
Oklahoma,110,3,36
California,109,8,41
Indiana,107,4,32
Colorado,102,3,17
North Carolina,98,7,36
Kentucky,98,3,29
Arizona,97,2,19
Iowa,84,3,25
Tennessee,75,3,22
Virginia,72,6,29
Missouri,59,1,12
Utah,56,3,25
Minnesota,43,1,7
Arkansas,42,3,16
West Virginia,38,2,14
Massachusetts,35,3,10
Idaho,33,1,4
Maryland,31,1,9
Kansas,30,2,14
Illinois,30,3,13
Wisconsin,26,1,10
Nebraska,24,1,14
Washington,22,2,10
New York,19,1,10
New Jersey,12,1,6
Nevada,9,2,5
North Dakota,7,1,2
Wyoming,5,1,1
Connecticut,4,1,3
Montana,3,1,2
Vermont,1,1,1
South Dakota,1,1,1
Washington DC,1,1,1
Hawaii,1,1,1
