State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,355,11,60
Ohio,281,5,32
Florida,194,7,54
Georgia,185,4,27
Michigan,165,4,22
Mississippi,149,3,19
Alabama,134,5,23
Oregon,131,2,22
Louisiana,116,4,19
California,114,9,29
Indiana,112,3,23
South Carolina,110,4,25
Pennsylvania,110,3,19
Iowa,101,3,18
Colorado,96,2,14
North Carolina,88,8,22
Kentucky,81,4,20
Tennessee,75,3,18
Missouri,72,2,9
Arizona,72,2,9
Virginia,66,5,20
Kansas,50,2,15
West Virginia,47,2,9
Oklahoma,46,3,17
Arkansas,46,4,16
Minnesota,42,2,12
Massachusetts,42,3,8
Idaho,42,1,4
Maryland,33,4,11
Utah,30,3,15
New York,30,2,10
Nebraska,27,1,9
North Dakota,25,1,1
New Jersey,24,1,9
Washington,18,3,8
Illinois,13,4,8
Wisconsin,13,1,5
Nevada,13,2,4
Connecticut,8,1,3
Delaware,6,1,2
Montana,3,1,2
Vermont,2,1,1
Canada,2,1,1
Washington DC,1,1,1
South Dakota,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
New Mexico,1,1,1
