State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,333,13,102
Ohio,314,5,45
Georgia,237,3,35
Michigan,191,4,25
Alabama,182,5,39
Florida,158,7,66
Louisiana,153,3,26
Indiana,150,4,31
Mississippi,142,4,28
Oregon,142,2,24
Kentucky,141,2,29
Oklahoma,139,3,33
Pennsylvania,135,2,23
South Carolina,130,3,34
Colorado,117,2,19
Arizona,109,2,16
California,99,7,40
North Carolina,99,8,35
Iowa,97,3,20
Tennessee,70,3,20
Missouri,51,1,7
Arkansas,41,2,13
Virginia,40,4,20
Wisconsin,39,1,13
Utah,36,3,18
Kansas,32,2,9
West Virginia,31,2,13
Idaho,21,1,2
Minnesota,17,1,6
Nebraska,13,1,11
Maryland,13,1,5
Illinois,12,3,8
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
Nevada,9,1,3
New York,8,1,7
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
