State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,330,14,100
Ohio,302,6,46
Georgia,249,3,38
Michigan,201,4,25
Florida,189,8,74
Alabama,158,5,39
Pennsylvania,153,4,24
South Carolina,150,3,34
Louisiana,145,4,31
Oklahoma,144,3,35
Mississippi,127,3,27
Indiana,118,4,31
Kentucky,118,3,30
Oregon,110,2,22
Arizona,110,2,19
Colorado,107,2,14
California,103,8,38
North Carolina,103,7,34
Iowa,97,3,24
Tennessee,71,3,20
Virginia,65,5,28
Missouri,62,1,11
Arkansas,44,3,14
Utah,41,3,22
Minnesota,38,1,7
West Virginia,36,2,14
Kansas,36,2,12
Idaho,32,1,3
Wisconsin,22,1,11
New Jersey,19,1,6
Maryland,17,1,8
Nebraska,16,1,12
Washington,15,2,7
Illinois,14,3,10
New York,10,1,9
Massachusetts,8,3,8
Nevada,8,1,4
Montana,6,1,2
Connecticut,6,1,2
North Dakota,6,1,2
Wyoming,6,1,1
South Dakota,2,1,1
Hawaii,1,1,1
Washington DC,1,1,1
