State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,356,12,88
Ohio,268,5,38
Georgia,215,4,32
Michigan,186,4,25
Florida,182,8,69
Alabama,170,5,32
Mississippi,148,3,27
Oregon,145,2,28
Louisiana,130,5,25
South Carolina,127,4,32
Pennsylvania,124,3,22
California,113,8,39
Indiana,112,3,31
Colorado,103,3,16
Iowa,102,3,21
North Carolina,94,9,31
Kentucky,92,3,18
Tennessee,88,3,21
Arizona,75,2,16
Oklahoma,73,3,26
Virginia,67,4,25
West Virginia,64,2,14
Missouri,57,1,13
Arkansas,47,3,15
Minnesota,46,1,8
Kansas,42,2,14
Utah,40,3,19
Maryland,36,2,9
Idaho,35,1,5
Illinois,32,3,13
Massachusetts,30,3,11
New York,29,1,9
Nebraska,23,1,11
New Jersey,19,1,9
Wisconsin,15,1,8
North Dakota,15,1,1
Washington,12,1,8
Connecticut,9,1,3
Nevada,6,2,2
Wyoming,3,1,2
Montana,2,1,2
South Dakota,2,1,1
Washington DC,1,1,1
Delaware,1,1,1
Vermont,1,1,1
Hawaii,1,1,1
