State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,348,13,102
Ohio,317,5,45
Georgia,234,3,35
Michigan,195,4,25
Alabama,170,5,39
Florida,167,7,66
Louisiana,157,3,26
Oregon,142,2,24
Indiana,141,4,31
Kentucky,138,2,29
South Carolina,136,3,34
Mississippi,132,4,28
Pennsylvania,130,2,23
Oklahoma,124,3,33
Colorado,112,2,19
Arizona,109,2,16
California,102,7,40
Iowa,95,3,20
North Carolina,94,8,35
Tennessee,70,3,20
Arkansas,46,2,13
Missouri,46,1,7
Kansas,45,2,9
Virginia,40,4,20
Wisconsin,39,1,13
Utah,36,3,18
West Virginia,31,2,13
Minnesota,29,1,6
Idaho,21,1,2
Nebraska,13,1,11
Maryland,13,1,5
Illinois,12,3,8
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
New York,9,1,7
Nevada,8,1,3
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
