State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,341,13,102
Ohio,300,5,45
Georgia,232,3,35
Michigan,201,4,26
Louisiana,165,3,26
Alabama,159,4,37
Florida,157,7,66
Oregon,146,2,24
Indiana,145,4,31
Kentucky,143,2,29
Mississippi,139,4,28
South Carolina,133,3,34
Pennsylvania,130,2,23
Oklahoma,128,3,33
Colorado,121,2,18
Arizona,115,2,16
California,102,7,40
Iowa,100,3,20
North Carolina,98,8,35
Tennessee,69,3,19
Arkansas,53,2,13
Missouri,52,1,7
Wisconsin,39,1,13
Virginia,38,4,20
Utah,36,3,18
Kansas,32,2,9
West Virginia,30,2,13
Idaho,21,1,2
Minnesota,18,1,6
Nebraska,13,1,11
Illinois,13,3,8
Maryland,13,1,5
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
New York,8,1,7
Nevada,8,1,3
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
