State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,334,13,102
Ohio,309,5,45
Georgia,231,3,35
Michigan,196,4,26
Alabama,169,4,37
Florida,158,7,66
Louisiana,154,3,26
Indiana,145,4,31
Oregon,145,2,24
Kentucky,143,2,29
Mississippi,142,4,28
Oklahoma,139,3,33
Pennsylvania,135,2,23
South Carolina,132,3,34
Colorado,116,2,18
Arizona,109,2,16
Iowa,105,3,20
California,102,7,40
North Carolina,99,8,35
Tennessee,69,3,19
Missouri,51,1,7
Arkansas,43,2,13
Virginia,40,4,20
Wisconsin,40,1,13
Utah,36,3,18
Kansas,32,2,9
West Virginia,31,2,13
Idaho,21,1,2
Minnesota,17,1,6
Nebraska,13,1,11
Maryland,13,1,5
Illinois,12,3,8
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
Nevada,9,1,3
New York,8,1,7
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
