State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,364,14,117
Ohio,297,6,47
Georgia,233,4,39
Michigan,201,4,25
Florida,195,8,78
Alabama,181,5,41
Louisiana,163,5,30
South Carolina,142,3,34
Mississippi,132,3,28
Oklahoma,129,3,36
Pennsylvania,125,4,27
Kentucky,118,3,30
Oregon,118,2,27
California,115,8,41
Indiana,107,4,32
Colorado,106,3,16
North Carolina,104,7,36
Arizona,100,2,19
Virginia,81,6,29
Iowa,77,3,25
Tennessee,64,3,22
Missouri,53,1,11
Utah,52,3,25
Minnesota,47,1,7
Arkansas,41,3,15
Idaho,33,1,4
West Virginia,29,2,14
Wisconsin,29,1,10
Illinois,28,3,13
Massachusetts,28,3,9
Maryland,27,1,8
Nebraska,24,1,14
Kansas,23,2,14
New York,18,1,9
Washington,18,2,9
New Jersey,17,1,6
Nevada,9,2,5
Connecticut,8,1,3
North Dakota,7,1,2
Montana,6,1,2
Wyoming,5,1,1
Vermont,2,1,1
South Dakota,1,1,1
Washington DC,1,1,1
Hawaii,1,1,1
