State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,353,13,105
Ohio,309,5,46
Georgia,246,3,36
Michigan,204,4,28
Florida,167,7,70
Alabama,159,4,41
Louisiana,153,3,29
Indiana,150,4,33
Kentucky,144,2,29
Oklahoma,139,3,36
Oregon,137,2,24
Mississippi,135,4,29
Pennsylvania,135,2,23
South Carolina,131,3,37
Arizona,119,2,16
Colorado,117,2,18
California,100,7,41
North Carolina,99,8,36
Iowa,98,3,20
Tennessee,71,3,20
Missouri,52,1,7
Virginia,40,4,20
Wisconsin,40,1,13
Arkansas,36,3,14
Utah,33,3,18
Kansas,32,2,9
West Virginia,31,2,13
Idaho,21,1,2
Minnesota,20,1,6
Illinois,15,3,8
Nebraska,13,1,11
Maryland,13,1,5
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
New York,10,1,8
Nevada,8,1,3
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
