State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,340,11,60
Ohio,282,5,33
Florida,211,7,55
Georgia,181,4,27
Michigan,161,4,22
Mississippi,149,3,19
Oregon,136,2,23
Alabama,131,5,23
Louisiana,122,4,19
California,117,9,30
South Carolina,117,4,25
Pennsylvania,111,3,20
Indiana,107,3,23
Iowa,98,3,18
North Carolina,93,8,22
Colorado,92,2,14
Kentucky,85,4,21
Missouri,70,2,10
Tennessee,67,3,19
Virginia,64,5,20
Arizona,62,2,9
Kansas,54,2,15
Arkansas,51,4,16
Minnesota,51,2,12
Oklahoma,50,3,18
Massachusetts,50,3,8
West Virginia,47,2,9
Idaho,42,1,4
Utah,34,3,16
Maryland,29,4,12
New York,27,2,10
North Dakota,25,1,1
Nebraska,24,1,9
New Jersey,22,1,9
Washington,20,3,9
Illinois,13,4,8
Wisconsin,13,1,5
Nevada,13,2,4
Connecticut,9,1,3
Delaware,6,1,2
Montana,3,1,2
Washington DC,1,1,1
Vermont,1,1,1
Canada,1,1,1
South Dakota,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
New Mexico,1,1,1
