State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,374,15,123
Ohio,300,6,50
Georgia,222,4,39
Florida,214,8,84
Alabama,192,5,42
Michigan,190,4,29
Louisiana,172,6,32
Mississippi,146,3,29
Pennsylvania,138,4,28
South Carolina,135,3,36
Oregon,130,2,29
Indiana,120,4,34
Kentucky,106,3,30
California,101,8,44
Colorado,99,3,18
Arizona,98,2,20
North Carolina,96,9,39
Oklahoma,95,3,36
Iowa,92,3,25
Virginia,80,6,31
Tennessee,75,3,23
Utah,49,3,25
Missouri,49,1,13
Arkansas,46,3,18
West Virginia,42,2,14
Kansas,41,2,16
Minnesota,41,1,7
Maryland,36,2,10
Massachusetts,33,3,10
Idaho,33,1,4
Illinois,29,4,15
Wisconsin,23,1,11
New York,22,1,10
Nebraska,20,1,14
Washington,20,2,11
Nevada,15,2,5
New Jersey,13,1,8
North Dakota,11,1,2
Connecticut,8,1,4
Washington DC,5,1,1
Montana,3,1,2
Wyoming,3,1,2
Delaware,2,1,1
Vermont,1,1,1
South Dakota,1,1,1
Hawaii,1,1,1
