State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,373,14,119
Ohio,298,6,47
Georgia,226,4,39
Florida,193,8,79
Michigan,193,4,25
Alabama,184,5,41
Louisiana,164,6,31
South Carolina,148,3,34
Mississippi,135,3,28
Pennsylvania,131,4,27
Oklahoma,118,3,36
Oregon,114,2,27
California,107,8,41
Indiana,107,4,32
Colorado,105,3,17
North Carolina,103,7,36
Kentucky,103,3,29
Arizona,100,2,19
Virginia,81,6,29
Iowa,75,3,25
Tennessee,74,3,22
Missouri,59,1,12
Utah,52,3,25
Minnesota,47,1,7
Arkansas,45,3,16
West Virginia,38,2,14
Massachusetts,35,3,10
Idaho,33,1,4
Maryland,32,1,9
Illinois,30,3,13
Kansas,28,2,14
Nebraska,24,1,14
Wisconsin,24,1,10
New York,19,1,10
Washington,18,2,9
New Jersey,12,1,6
Nevada,9,2,5
North Dakota,8,1,2
Connecticut,7,1,3
Montana,6,1,2
Wyoming,5,1,1
Vermont,2,1,1
South Dakota,1,1,1
Washington DC,1,1,1
Hawaii,1,1,1
