State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,339,13,102
Ohio,317,5,45
Georgia,250,3,36
Michigan,183,4,25
Florida,168,7,69
Alabama,162,5,41
South Carolina,156,3,36
Louisiana,149,3,27
Pennsylvania,144,4,24
Kentucky,142,2,30
Oklahoma,137,3,35
Indiana,136,4,31
Oregon,125,2,24
Mississippi,118,4,28
Colorado,114,2,19
California,107,8,40
North Carolina,104,8,36
Arizona,103,2,16
Iowa,89,3,22
Tennessee,71,3,23
Virginia,58,4,21
Missouri,51,1,7
Utah,46,3,20
Arkansas,46,2,13
West Virginia,42,2,14
Wisconsin,32,1,13
Kansas,26,2,10
Idaho,26,1,2
Minnesota,23,1,6
New Jersey,17,2,7
Illinois,14,3,8
Nebraska,11,1,11
New York,11,1,7
Maryland,10,1,5
Nevada,9,1,3
Washington,8,2,7
Montana,6,1,2
Connecticut,5,2,3
Wyoming,5,1,1
South Dakota,5,1,1
Massachusetts,4,2,4
Washington DC,1,1,1
