State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,341,11,60
Ohio,277,5,32
Florida,208,7,54
Georgia,176,4,27
Michigan,161,4,22
Mississippi,146,3,19
Alabama,130,5,23
Oregon,128,2,22
California,119,9,29
Indiana,115,3,23
Louisiana,115,4,19
South Carolina,113,4,25
Pennsylvania,106,3,19
Iowa,103,3,18
Colorado,93,2,14
Kentucky,90,4,20
North Carolina,86,8,22
Arizona,75,2,9
Tennessee,74,3,18
Missouri,73,2,9
Virginia,65,5,20
Kansas,55,2,15
West Virginia,52,2,9
Arkansas,47,4,16
Oklahoma,46,3,17
Massachusetts,43,3,8
Minnesota,42,2,12
Idaho,42,1,4
Utah,34,3,15
Maryland,33,4,11
New York,30,2,10
Nebraska,27,1,9
North Dakota,25,1,1
New Jersey,23,1,9
Washington,18,3,8
Illinois,14,4,8
Wisconsin,13,1,5
Nevada,12,2,4
Connecticut,8,1,3
Delaware,6,1,2
Montana,3,1,2
Canada,1,1,1
Vermont,1,1,1
Washington DC,1,1,1
South Dakota,1,1,1
Wyoming,1,1,1
Hawaii,1,1,1
New Mexico,1,1,1
