State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,370,14,116
Ohio,286,6,47
Georgia,247,4,39
Michigan,206,4,25
Florida,198,8,78
Alabama,159,5,41
Louisiana,152,5,30
South Carolina,151,3,34
Oklahoma,140,3,36
Kentucky,137,3,30
Mississippi,131,3,28
Oregon,125,2,26
Pennsylvania,118,4,26
Indiana,111,4,31
North Carolina,109,7,35
California,107,8,40
Colorado,107,3,16
Arizona,106,2,19
Virginia,77,6,29
Iowa,72,3,24
Missouri,60,1,11
Tennessee,56,3,21
Utah,54,3,25
Minnesota,51,1,7
West Virginia,39,2,14
Arkansas,38,3,15
Wisconsin,35,1,11
Idaho,33,1,4
Kansas,31,2,14
Maryland,23,1,7
Nebraska,19,1,14
Washington,18,2,9
Illinois,16,3,11
New Jersey,12,1,6
New York,9,1,9
Massachusetts,8,3,8
Connecticut,8,1,3
North Dakota,7,1,2
Nevada,6,2,5
Vermont,5,1,1
Wyoming,5,1,1
Montana,3,1,2
Hawaii,1,1,1
South Dakota,1,1,1
Washington DC,1,1,1
