State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,344,13,102
Ohio,314,5,45
Georgia,236,3,35
Michigan,195,4,26
Louisiana,164,3,26
Florida,159,7,66
Alabama,159,4,37
Oregon,146,2,24
Kentucky,143,2,29
Indiana,140,4,31
Pennsylvania,135,2,23
Oklahoma,134,3,33
South Carolina,133,3,34
Mississippi,123,4,28
Arizona,119,2,16
Colorado,116,2,18
Iowa,104,3,20
California,103,7,40
North Carolina,98,8,35
Tennessee,71,3,19
Missouri,51,1,7
Arkansas,44,2,13
Virginia,39,4,20
Wisconsin,39,1,13
Utah,33,3,18
Kansas,32,2,9
West Virginia,31,2,13
Idaho,21,1,2
Minnesota,17,1,6
Nebraska,13,1,11
Maryland,13,1,5
Illinois,12,3,8
Washington,11,2,7
New Jersey,11,2,6
Connecticut,11,2,3
Nevada,9,1,3
New York,8,1,7
Massachusetts,3,2,3
Montana,2,1,1
Washington DC,2,1,1
