State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,371,14,117
Ohio,298,6,47
Georgia,240,4,39
Florida,199,8,79
Michigan,197,4,25
Alabama,182,5,41
Louisiana,162,5,30
South Carolina,138,3,34
Mississippi,136,3,28
Pennsylvania,132,4,27
Oklahoma,116,3,36
Oregon,111,2,27
Indiana,108,4,32
Kentucky,108,3,29
California,107,8,41
North Carolina,107,7,36
Colorado,106,3,16
Arizona,100,2,19
Iowa,75,3,25
Virginia,73,6,29
Tennessee,63,3,22
Missouri,55,1,12
Utah,47,3,25
Minnesota,47,1,7
Arkansas,44,3,15
Massachusetts,36,3,10
West Virginia,34,2,14
Maryland,33,1,9
Idaho,33,1,4
Kansas,29,2,14
Illinois,29,3,13
Wisconsin,27,1,10
Nebraska,24,1,14
New York,19,1,9
Washington,18,2,9
New Jersey,17,1,6
Nevada,9,2,5
Connecticut,8,1,3
North Dakota,8,1,2
Montana,6,1,2
Wyoming,5,1,1
Vermont,2,1,1
South Dakota,1,1,1
Washington DC,1,1,1
Hawaii,1,1,1
