State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,424,8,40
South Carolina,214,3,16
Ohio,212,4,20
Alabama,183,3,18
Florida,159,6,24
Mississippi,156,3,13
Georgia,155,3,17
Kentucky,139,2,13
California,127,5,16
Colorado,115,2,8
Oklahoma,113,3,15
Indiana,106,3,12
Oregon,94,2,9
Pennsylvania,93,2,11
Kansas,85,2,4
Louisiana,82,2,6
North Carolina,74,4,11
Michigan,70,2,8
Tennessee,69,2,8
Wisconsin,52,1,5
Washington,45,2,4
Utah,34,2,4
Iowa,33,2,5
Arizona,32,2,5
Missouri,30,1,3
New Jersey,27,2,2
Virginia,26,2,6
West Virginia,17,1,3
Arkansas,11,1,3
Maryland,11,1,2
Connecticut,8,2,2
Idaho,5,1,1
Illinois,5,1,1
New York,4,1,3
Nebraska,2,1,1
Massachusetts,2,1,1
Minnesota,2,1,1
Nevada,1,1,1
