State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,344,13,102
Ohio,300,5,45
Georgia,245,3,36
Michigan,190,4,25
Florida,172,7,67
Louisiana,170,3,26
Alabama,166,5,41
Indiana,146,4,31
Oregon,140,2,24
South Carolina,138,3,35
Pennsylvania,138,3,23
Oklahoma,137,3,34
Mississippi,132,4,28
Kentucky,131,2,29
Arizona,105,2,16
Colorado,102,2,19
California,95,7,39
North Carolina,90,8,35
Iowa,78,3,20
Tennessee,73,3,20
Missouri,49,1,7
Virginia,48,4,21
Wisconsin,46,1,13
Arkansas,43,2,13
West Virginia,39,2,13
Utah,36,3,20
Kansas,36,2,10
Minnesota,32,1,6
Idaho,26,1,2
New Jersey,18,2,6
Nebraska,12,1,11
Washington,11,2,7
Maryland,10,1,5
Illinois,9,3,8
Montana,9,1,2
New York,8,1,7
Connecticut,8,2,3
Nevada,8,1,3
Wyoming,8,1,1
Massachusetts,3,2,3
Washington DC,1,1,1
