State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,346,13,102
Ohio,323,5,45
Georgia,269,3,36
Michigan,199,4,25
Alabama,183,5,41
Florida,163,7,67
Louisiana,146,3,26
Indiana,143,4,31
South Carolina,141,3,35
Pennsylvania,139,3,23
Oklahoma,136,3,34
Kentucky,132,2,29
Mississippi,123,4,28
Colorado,114,2,19
Oregon,109,2,24
Arizona,108,2,16
California,100,7,39
Iowa,91,3,20
North Carolina,90,8,35
Tennessee,70,3,20
Missouri,51,1,7
Virginia,45,4,21
Arkansas,43,2,13
West Virginia,38,2,13
Utah,37,3,20
Wisconsin,37,1,13
Kansas,30,2,10
Idaho,26,1,2
Minnesota,25,1,6
New Jersey,15,2,6
Nebraska,11,1,11
Washington,11,2,7
Maryland,10,1,5
Illinois,9,3,8
Connecticut,8,2,3
Montana,8,1,2
New York,7,1,7
Wyoming,7,1,1
Nevada,5,1,3
Massachusetts,3,2,3
Washington DC,1,1,1
