State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,348,14,116
Ohio,281,6,47
Georgia,232,4,39
Florida,217,8,78
Michigan,197,4,25
Alabama,163,5,41
South Carolina,151,3,34
Louisiana,146,5,30
Kentucky,135,3,30
Pennsylvania,134,4,26
Oregon,131,2,26
Mississippi,129,3,28
North Carolina,125,7,36
Oklahoma,124,3,36
California,118,8,40
Indiana,110,4,31
Colorado,108,3,16
Arizona,106,2,19
Virginia,89,6,29
Iowa,75,3,24
Tennessee,60,3,21
Missouri,54,1,11
Utah,48,3,25
Minnesota,46,1,7
Arkansas,39,3,15
West Virginia,34,2,14
Kansas,34,2,14
Idaho,33,1,4
Wisconsin,30,1,11
Illinois,25,3,11
Maryland,21,1,7
Nebraska,20,1,14
Washington,15,2,9
New Jersey,14,1,6
New York,13,1,9
Massachusetts,8,3,8
Connecticut,8,1,3
North Dakota,6,1,2
Vermont,6,1,1
Nevada,5,2,5
Wyoming,5,1,1
Montana,3,1,2
South Dakota,1,1,1
Washington DC,1,1,1
Hawaii,1,1,1
