State,ProjectedPoints,NumberOfSchools,NumberOfProspects
Texas,372,13,102
Ohio,330,5,46
Georgia,234,3,35
Michigan,189,4,28
Alabama,184,4,39
Florida,161,7,68
Louisiana,159,3,29
Indiana,140,4,30
Kentucky,140,2,29
South Carolina,137,3,36
Mississippi,137,4,29
Pennsylvania,128,2,22
Oklahoma,125,3,35
Colorado,123,2,18
Oregon,122,2,22
North Carolina,109,8,35
California,105,7,40
Arizona,92,2,15
Iowa,85,3,18
Tennessee,68,3,20
Arkansas,46,3,14
Virginia,43,4,19
Wisconsin,41,1,12
Missouri,41,1,6
West Virginia,36,2,12
Utah,34,3,18
Kansas,34,2,9
Idaho,21,1,2
Nebraska,19,1,11
New Jersey,15,2,6
New York,12,1,8
Illinois,12,3,8
Washington,11,2,7
Maryland,9,1,5
Nevada,8,1,3
Connecticut,7,2,2
Minnesota,5,1,5
Washington DC,5,1,1
Massachusetts,3,2,3
