Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Treylon Burks,Arkansas,WR,2021-09-03,,,Arkansas,SEC,35
2,1,George Pickens,Georgia,WR,2021-09-03,,,Georgia,SEC,35
3,2,Brandon Joseph,Northwestern,S,2021-09-03,,,Illinois,Big Ten,35
4,2,Jordan Battle,Alabama,S,2021-09-03,,,Alabama,SEC,35
5,3,David Bell,Purdue,WR,2021-09-03,,,Indiana,Big Ten,35
6,5,Trent McDuffie,Washington,CB,2021-09-03,,,Washington,Pac 12,35
7,2,Nick Broeker,Ole Miss,OT,2021-09-03,,,Mississippi,SEC,35
8,3,Tyler Davis,Clemson,DL,2021-09-03,,,South Carolina,ACC,35
9,4,Jadon Haselwood,Oklahoma,WR,2021-09-03,,,Oklahoma,Big 12,35
10,9,Daxton Hill,Michigan,S,2021-09-03,,,Michigan,Big Ten,35
11,9,Jordan McFadden,Clemson,OT,2021-09-03,,,South Carolina,ACC,30
12,10,Grayson McCall,Coastal Carolina,QB,2021-09-03,,,South Carolina,FCS,30
13,1,D.J. Uiagalelei,Clemson,QB,2021-09-03,,,South Carolina,ACC,30
14,2,Will Anderson Jr.,Alabama,DL,2021-09-03,,,Alabama,SEC,30
15,3,Bryce Young,Alabama,QB,2021-09-03,,,Alabama,SEC,30
16,16,Bijan Robinson,Texas,RB,2021-09-03,,,Texas,Big 12,30
17,2,Myles Murphy,Clemson,DL,2021-09-03,,,South Carolina,ACC,30
18,1,Bryan Bresee,Clemson,DL,2021-09-03,,,South Carolina,ACC,30
19,4,Kayshon Boutte,LSU,WR,2021-09-03,,,Louisiana,SEC,30
20,20,Malachi Moore,Alabama,S,2021-09-03,,,Alabama,SEC,30
21,8,Eli Ricks,LSU,CB,2021-09-03,,,Louisiana,SEC,30
22,22,Michael Mayer,Notre Dame,TE,2021-09-03,,,Indiana,FBS - Independent,30
23,23,Tank Bigsby,Auburn,RB,2021-09-03,,,Alabama,SEC,30
24,24,Peter Skoronski,Northwestern,IOL,2021-09-03,,,Illinois,Big Ten,30
25,9,Trenton Simpson,Clemson,LB,2021-09-03,,,South Carolina,ACC,30
26,26,Khari Coleman,TCU,EDGE,2021-09-03,,,Texas,Big 12,25
27,27,B.J. Ojulari,LSU,EDGE,2021-09-03,,,Louisiana,SEC,25
28,7,Tiawan Mullen,Indiana,CB,2021-09-03,,,Indiana,Big Ten,25
29,29,Jaylon Jones,Texas A&M,CB,2021-09-03,,,Texas,SEC,25
30,30,Robert Scott Jr.,Florida State,OT,2021-09-03,,,Florida,ACC,25
31,27,Zach Evans,TCU,RB,2021-09-03,,,Texas,Big 12,25
32,32,Javion Cohen,Alabama,IOL,2021-09-03,,,Alabama,SEC,25
33,4,Noah Sewell,Oregon,LB,2021-09-03,,,Oregon,Pac 12,25
34,8,Garrett Williams,Syracuse,CB,2021-09-03,,,New York,ACC,25
35,35,Jalen Carter,Georgia,DL,2021-09-03,,,Georgia,SEC,25
36,8,Gervon Dexter,Florida,DL,2021-09-03,,,Florida,SEC,20
37,37,Chidozie Nwankwo,Houston,DL,2021-09-03,,,Texas,FBS - AAC,20
38,38,Nick Andersen,Wake Forest,S,2021-09-03,,,North Carolina,ACC,20
39,11,Jordan Burch,South Carolina,DL,2021-09-03,,,South Carolina,SEC,20
40,37,Andrew Raym,Oklahoma,IOL,2021-09-03,,,Oklahoma,Big 12,20
41,12,Tyler Grubbs,Louisiana Tech,LB,2021-09-03,,,Louisiana,FBS - CUSA,20
42,42,Jahmyr Gibbs,Georgia Tech,RB,2021-09-03,,,Georgia,ACC,20
43,43,Jaquelin Roy,LSU,DL,2021-09-03,,,Louisiana,SEC,20
44,39,Anton Harrison,Oklahoma,OT,2021-09-03,,,Oklahoma,Big 12,20
45,45,D.J. Graham,Oklahoma,CB,2021-09-03,,,Oklahoma,Big 12,20
46,46,Willie Lampkin,Coastal Carolina,IOL,2021-09-03,,,South Carolina,FCS,20
47,13,Wan'Dale Robinson,Nebraska,WR,2021-09-03,,,Nebraska,Big Ten,20
48,8,Verone McKinley III,Oregon,S,2021-09-03,,,Oregon,Pac 12,20
49,2,C.J. Stroud,Ohio State,QB,2021-09-03,,,Ohio,Big Ten,20
50,9,Paris Johnson Jr.,Ohio State,OT,2021-09-03,,,Ohio,Big Ten,20
51,6,Turner Corcoran,Nebraska,OT,2021-09-03,,,Nebraska,Big Ten,20
52,16,Anthony Richardson,Florida,QB,2021-09-03,,,Florida,SEC,20
53,18,Desmond Evans,North Carolina,EDGE,2021-09-03,,,North Carolina,ACC,20
54,19,Warren McClendon,Georgia,OT,2021-09-03,,,Georgia,SEC,20
