Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,C.J. Stroud,Ohio State,QB,2023-03-25,1,CAROLINA PANTHERS,Ohio,Big Ten,35
2,1,Bryce Young,Alabama,QB,2023-03-25,2,HOUSTON TEXANS,Alabama,SEC,35
3,1,Will Anderson Jr.,Alabama,EDGE,2023-03-25,3,ARIZONA CARDINALS,Alabama,SEC,35
4,4,Anthony Richardson,Florida,QB,2023-03-25,4,INDIANAPOLIS COLTS,Florida,SEC,35
5,4,Christian Gonzalez,Oregon,CB,2023-03-25,8,ATLANTA FALCONS,Oregon,Pac 12,35
6,1,Jalen Carter,Georgia,DL,2023-03-25,6,DETROIT LIONS,Georgia,SEC,35
7,2,Tyree Wilson,Texas Tech,EDGE,2023-03-25,5,SEATTLE SEAHAWKS,Texas,Big 12,35
8,5,Devon Witherspoon,Illinois,CB,2023-03-25,16,WASHINGTON COMMANDERS,Illinois,Big Ten,35
9,5,Will Levis,Kentucky,QB,2023-03-25,7,LAS VEGAS RAIDERS,Kentucky,SEC,35
10,7,Joey Porter Jr.,Penn State,CB,2023-03-25,14,NEW ENGLAND PATRIOTS,Pennsylvania,Big Ten,35
11,7,Paris Johnson Jr.,Ohio State,OT,2023-03-25,11,TENNESSEE TITANS,Ohio,Big Ten,30
12,3,Bijan Robinson,Texas,RB,2023-03-25,10,PHILADELPHIA EAGLES,Texas,Big 12,30
13,4,Myles Murphy,Clemson,EDGE,2023-03-25,17,PITTSBURGH STEELERS,South Carolina,ACC,30
14,6,Peter Skoronski,Northwestern,OT,2023-03-25,9,CHICAGO BEARS,Illinois,Big Ten,30
15,13,Jaxon Smith-Njigba,Ohio State,WR,2023-03-25,12,HOUSTON TEXANS,Ohio,Big Ten,30
16,6,Quentin Johnston,TCU,WR,2023-03-25,22,BALTIMORE RAVENS,Texas,Big 12,30
17,15,Lukas Van Ness,Iowa,EDGE,2023-03-25,24,JACKSONVILLE JAGUARS,Iowa,Big Ten,30
18,12,Brian Branch,Alabama,S,2023-03-25,15,GREEN BAY PACKERS,Alabama,SEC,30
19,14,Broderick Jones,Georgia,OT,2023-03-25,13,NEW YORK JETS,Georgia,SEC,30
20,11,Jordan Addison,USC,WR,2023-03-25,20,SEATTLE SEAHAWKS,California,Pac 12,30
21,19,Nolan Smith,Georgia,EDGE,2023-03-25,29,NEW ORLEANS SAINTS,Georgia,SEC,30
22,11,Michael Mayer,Notre Dame,TE,2023-03-25,26,DALLAS COWBOYS,Indiana,FBS - Independent,30
23,2,Bryan Bresee,Clemson,DL,2023-03-25,43,NEW YORK JETS,South Carolina,ACC,30
24,22,Dalton Kincaid,Utah,TE,2023-03-25,21,LOS ANGELES CHARGERS,Utah,Pac 12,30
25,24,Calijah Kancey,Pitt,DL,2023-03-25,30,PHILADELPHIA EAGLES,Pennsylvania,ACC,30
26,26,Deonte Banks,Maryland,CB,2023-03-25,18,DETROIT LIONS,Maryland,Big Ten,25
27,26,Zay Flowers,Boston College,WR,2023-03-25,23,MINNESOTA VIKINGS,Massachusetts,ACC,25
28,22,O'Cyrus Torrence,Florida,IOL,2023-03-25,27,BUFFALO BILLS,Florida,SEC,25
29,9,Cam Smith,South Carolina,CB,2023-03-25,First Round,,South Carolina,SEC,25
30,5,Kelee Ringo,Georgia,CB,2023-03-25,35,INDIANAPOLIS COLTS,Georgia,SEC,25
31,28,Darnell Wright,Tennessee,OT,2023-03-25,19,TAMPA BAY BUCCANEERS,Tennessee,SEC,25
32,26,Anton Harrison,Oklahoma,OT,2023-03-25,31,KANSAS CITY CHIEFS,Oklahoma,Big 12,25
33,22,Jahmyr Gibbs,Alabama,RB,2023-03-25,51,MIAMI DOLPHINS,Alabama,SEC,25
34,24,Darnell Washington,Georgia,TE,2023-03-25,41,TENNESSEE TITANS,Georgia,SEC,25
35,25,Jalin Hyatt,Tennessee,WR,2023-03-25,First Round,,Tennessee,SEC,25
36,34,Dawand Jones,Ohio State,OT,2023-03-25,28,CINCINNATI BENGALS,Ohio,Big Ten,20
37,30,Emmanuel Forbes,Mississippi State,CB,2023-03-25,34,ARIZONA CARDINALS,Mississippi,SEC,20
38,37,Mazi Smith,Michigan,DL,2023-03-25,32,PITTSBURGH STEELERS,Michigan,Big Ten,20
39,30,Drew Sanders,Arkansas,LB,2023-03-25,59,BUFFALO BILLS,Arkansas,SEC,20
40,19,Trenton Simpson,Clemson,LB,2023-03-25,49,PITTSBURGH STEELERS,South Carolina,ACC,20
41,27,B.J. Ojulari,LSU,EDGE,2023-03-25,38,LAS VEGAS RAIDERS,Louisiana,SEC,20
42,42,Will McDonald IV,Iowa State,EDGE,2023-03-25,33,HOUSTON TEXANS,Iowa,Big 12,20
43,20,Antonio Johnson,Texas A&M,S,2023-03-25,42,NEW YORK JETS,Texas,SEC,20
44,36,Luke Musgrave,Oregon State,TE,2023-03-25,47,WASHINGTON COMMANDERS,Oregon,Pac 12,20
45,27,Josh Downs,North Carolina,WR,2023-03-25,First Round,,North Carolina,ACC,20
46,33,Felix Anudike-Uzomah,Kansas State,EDGE,2023-03-25,39,CAROLINA PANTHERS,Kansas,Big 12,20
47,39,Jack Campbell,Iowa,LB,2023-03-25,62,PHILADELPHIA EAGLES,Iowa,Big Ten,20
48,35,Keion White,Georgia Tech,EDGE,2023-03-25,37,SEATTLE SEAHAWKS,Georgia,ACC,20
49,43,John Michael Schmitz,Minnesota,IOL,2023-03-25,25,NEW YORK GIANTS,Minnesota,Big Ten,20
50,22,Isaiah Foskey,Notre Dame,EDGE,2023-03-25,63,KANSAS CITY CHIEFS,Indiana,FBS - Independent,20
51,50,Adetomiwa Adebawore,Northwestern,EDGE,2023-03-25,First Round,,Illinois,Big Ten,20
52,51,Steve Avila,TCU,IOL,2023-03-25,36,LOS ANGELES RAMS,Texas,Big 12,20
53,49,Zach Charbonnet,UCLA,RB,2023-03-25,54,LOS ANGELES CHARGERS,California,Pac 12,20
54,22,Clark Phillips III,Utah,CB,2023-03-25,64,CHICAGO BEARS,Utah,Pac 12,20
55,46,Cody Mauch,North Dakota State,IOL,2023-03-25,First Round,,North Dakota,FCS,20
56,26,Siaki Ika,Baylor,DL,2023-03-25,58,DALLAS COWBOYS,Texas,Big 12,20
57,44,Keeanu Benton,Wisconsin,DL,2023-03-25,61,CHICAGO BEARS,Wisconsin,Big Ten,20
58,36,Tuli Tuipulotu,USC,DL,2023-03-25,First Round,,California,Pac 12,20
59,57,Sam LaPorta,Iowa,TE,2023-03-25,First Round,,Iowa,Big Ten,20
60,27,Hendon Hooker,Tennessee,QB,2023-03-25,First Round,,Tennessee,SEC,15
61,40,Derick Hall,Auburn,EDGE,2023-03-25,First Round,,Alabama,SEC,15
62,43,Tyrique Stevenson,Miami (FL),CB,2023-03-25,60,CINCINNATI BENGALS,Florida,ACC,15
63,46,Matthew Bergeron,Syracuse,OT,2023-03-25,53,CHICAGO BEARS,New York,ACC,15
64,42,Devon Achane,Texas A&M,RB,2023-03-25,First Round,,Texas,SEC,15
65,64,Julius Brents,Kansas State,CB,2023-03-25,,,Kansas,Big 12,15
66,58,Daiyan Henley,Washington State,LB,2023-03-25,,,Washington,Pac 12,15
67,46,Tucker Kraft,South Dakota State,TE,2023-03-25,55,DETROIT LIONS,South Dakota,FCS,15
68,64,Sydney Brown,Illinois,S,2023-03-25,,,Illinois,Big Ten,15
69,59,Luke Wypler,Ohio State,IOL,2023-03-25,,,Ohio,Big Ten,15
70,48,Joe Tippmann,Wisconsin,IOL,2023-03-25,57,NEW YORK GIANTS,Wisconsin,Big Ten,15
71,46,Jordan Battle,Alabama,S,2023-03-25,,,Alabama,SEC,10
72,38,Gervon Dexter,Florida,DL,2023-03-25,46,NEW ENGLAND PATRIOTS,Florida,SEC,10
73,48,Chris Smith II,Georgia,S,2023-03-25,,,Georgia,SEC,10
74,50,Zach Harrison,Ohio State,EDGE,2023-03-25,,,Ohio,Big Ten,10
75,17,Andre Carter II,Army,EDGE,2023-03-25,,,Kansas,FBS - Independent,10
76,52,D.J. Turner,Michigan,CB,2023-03-25,,,Michigan,Big Ten,10
77,75,Tyler Scott,Cincinnati,WR,2023-03-25,,,Ohio,FBS - AAC,10
78,32,Rashee Rice,SMU,WR,2023-03-25,45,GREEN BAY PACKERS,Texas,FBS - AAC,10
79,43,Eli Ricks,Alabama,CB,2023-03-25,,,Alabama,SEC,10
80,28,Noah Sewell,Oregon,LB,2023-03-25,48,DETROIT LIONS,Oregon,Pac 12,10
81,34,Jaelyn Duncan,Maryland,OT,2023-03-25,56,JACKSONVILLE JAGUARS,Maryland,Big Ten,10
82,36,Henry To'oto'o,Alabama,LB,2023-03-25,,,Alabama,SEC,10
83,63,Jammie Robinson,Florida State,S,2023-03-25,,,Florida,ACC,10
84,65,Nathaniel Dell,Houston,WR,2023-03-25,,,Texas,FBS - AAC,10
85,48,Cedric Tillman,Tennessee,WR,2023-03-25,44,ATLANTA FALCONS,Tennessee,SEC,10
86,25,Kayshon Boutte,LSU,WR,2023-03-25,,,Louisiana,SEC,10
87,50,Marvin Mims,Oklahoma,WR,2023-03-25,52,SEATTLE SEAHAWKS,Oklahoma,Big 12,10
88,54,Kyu Blu Kelly,Stanford,CB,2023-03-25,,,California,Pac 12,10
89,42,J.L. Skinner,Boise State,S,2023-03-25,50,TAMPA BAY BUCCANEERS,Idaho,FBS - Mountain West,10
90,48,Tanner McKee,Stanford,QB,2023-03-25,,,California,Pac 12,10
91,85,Blake Freeland,BYU,OT,2023-03-25,,,Utah,FBS - Independent,10
92,36,Garrett Williams,Syracuse,CB,2023-03-25,,,New York,ACC,10
93,68,Darius Rush,South Carolina,CB,2023-03-25,,,South Carolina,SEC,10
94,54,DeMarvion Overshown,Texas,LB,2023-03-25,,,Texas,Big 12,10
95,92,A.T. Perry,Wake Forest,WR,2023-03-25,,,North Carolina,ACC,10
96,42,Zach Evans,Ole Miss,RB,2023-03-25,,,Mississippi,SEC,10
97,70,Byron Young (TN),Tennessee,EDGE,2023-03-25,,,Tennessee,SEC,10
98,72,Tre'Vius Hodges-Tomlinson,TCU,CB,2023-03-25,,,Texas,Big 12,10
99,73,Ji'Ayir Brown,Penn State,S,2023-03-25,,,Pennsylvania,Big Ten,10
100,94,Jayden Reed,Michigan State,WR,2023-03-25,,,Michigan,Big Ten,10
101,44,Tank Bigsby,Auburn,RB,2023-03-25,,,Alabama,SEC,8
102,69,Parker Washington,Penn State,WR,2023-03-25,,,Pennsylvania,Big Ten,8
103,60,Tyjae Spears,Tulane,RB,2023-03-25,40,NEW ORLEANS SAINTS,Louisiana,FBS - AAC,8
104,34,Sean Tucker,Syracuse,RB,2023-03-25,,,New York,ACC,8
105,60,Kenny McIntosh,Georgia,RB,2023-03-25,,,Georgia,SEC,8
106,57,Olusegun Oluwatimi,Michigan,IOL,2023-03-25,,,Michigan,Big Ten,8
107,89,Xavier Hutchinson,Iowa State,WR,2023-03-25,,,Iowa,Big 12,8
108,60,Colby Wooden,Auburn,DL,2023-03-25,,,Alabama,SEC,8
109,108,Michael Wilson,Stanford,WR,2023-03-25,,,California,Pac 12,8
110,68,Kendre Miller,TCU,RB,2023-03-25,,,Texas,Big 12,8
111,72,DeWayne McBride,UAB,RB,2023-03-25,,,Alabama,FBS - CUSA,8
112,100,Chase Brown,Illinois,RB,2023-03-25,,,Illinois,Big Ten,8
113,81,Karl Brooks,Bowling Green,DL,2023-03-25,,,Ohio,FBS - MAC,8
114,78,Byron Young (AL),Alabama,DL,2023-03-25,,,Alabama,SEC,8
115,114,Jartavius Martin,Illinois,S,2023-03-25,,,Illinois,Big Ten,8
116,45,Andrew Vorhees,USC,IOL,2023-03-25,,,California,Pac 12,8
117,77,Roschon Johnson,Texas,RB,2023-03-25,,,Texas,Big 12,8
118,77,Zacch Pickens,South Carolina,DL,2023-03-25,,,South Carolina,SEC,8
