Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Will Anderson Jr.,Alabama,EDGE,2023-04-01,3,ARIZONA CARDINALS,Alabama,SEC,35
2,1,C.J. Stroud,Ohio State,QB,2023-04-01,1,CAROLINA PANTHERS,Ohio,Big Ten,35
3,1,Bryce Young,Alabama,QB,2023-04-01,2,HOUSTON TEXANS,Alabama,SEC,35
4,4,Christian Gonzalez,Oregon,CB,2023-04-01,7,LAS VEGAS RAIDERS,Oregon,Pac 12,35
5,1,Jalen Carter,Georgia,DL,2023-04-01,6,DETROIT LIONS,Georgia,SEC,35
6,2,Tyree Wilson,Texas Tech,EDGE,2023-04-01,5,SEATTLE SEAHAWKS,Texas,Big 12,35
7,4,Anthony Richardson,Florida,QB,2023-04-01,4,INDIANAPOLIS COLTS,Florida,SEC,35
8,5,Devon Witherspoon,Illinois,CB,2023-04-01,14,NEW ENGLAND PATRIOTS,Illinois,Big Ten,35
9,7,Paris Johnson Jr.,Ohio State,OT,2023-04-01,9,CHICAGO BEARS,Ohio,Big Ten,35
10,2,Bijan Robinson,Texas,RB,2023-04-01,First Round,,Texas,Big 12,35
11,7,Joey Porter Jr.,Penn State,CB,2023-04-01,16,WASHINGTON COMMANDERS,Pennsylvania,Big Ten,30
12,5,Will Levis,Kentucky,QB,2023-04-01,11,TENNESSEE TITANS,Kentucky,SEC,30
13,4,Myles Murphy,Clemson,EDGE,2023-04-01,29,NEW ORLEANS SAINTS,South Carolina,ACC,30
14,4,Peter Skoronski,Northwestern,OT,2023-04-01,10,PHILADELPHIA EAGLES,Illinois,Big Ten,30
15,14,Jaxon Smith-Njigba,Ohio State,WR,2023-04-01,12,HOUSTON TEXANS,Ohio,Big Ten,30
16,15,Lukas Van Ness,Iowa,EDGE,2023-04-01,8,ATLANTA FALCONS,Iowa,Big Ten,30
17,6,Quentin Johnston,TCU,WR,2023-04-01,22,BALTIMORE RAVENS,Texas,Big 12,30
18,14,Broderick Jones,Georgia,OT,2023-04-01,13,NEW YORK JETS,Georgia,SEC,30
19,19,Nolan Smith,Georgia,EDGE,2023-04-01,First Round,,Georgia,SEC,30
