Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,C.J. Stroud,Ohio State,QB,2022-01-27,,,Ohio,Big Ten,35
2,2,Bryce Young,Alabama,QB,2022-01-27,,,Alabama,SEC,35
3,3,Will Anderson Jr.,Alabama,EDGE,2022-01-27,,,Alabama,SEC,35
4,4,Jaxon Smith-Njigba,Ohio State,WR,2022-01-27,,,Ohio,Big Ten,35
5,5,Bijan Robinson,Texas,RB,2022-01-27,,,Texas,Big 12,35
6,5,Bryan Bresee,Clemson,DL,2022-01-27,,,South Carolina,ACC,35
7,5,Myles Murphy,Clemson,DL,2022-01-27,,,South Carolina,ACC,35
8,8,Anthony Richardson,Florida,QB,2022-01-27,,,Florida,SEC,35
9,9,B.J. Ojulari,LSU,EDGE,2022-01-27,,,Louisiana,SEC,35
10,10,Michael Mayer,Notre Dame,TE,2022-01-27,,,Indiana,FBS - Independent,35
11,11,Habakkuk Baldonado,Pitt,DL,2022-01-27,,,Pennsylvania,ACC,30
12,9,Joey Porter Jr.,Penn State,CB,2022-01-27,,,Pennsylvania,Big Ten,30
13,13,Jahmyr Gibbs,Alabama,RB,2022-01-27,,,Alabama,SEC,30
14,13,Paris Johnson Jr.,Ohio State,OT,2022-01-27,,,Ohio,Big Ten,30
15,10,Malachi Moore,Alabama,S,2022-01-27,,,Alabama,SEC,30
16,16,Parker Washington,Penn State,WR,2022-01-27,,,Pennsylvania,Big Ten,30
17,1,Jordan Battle,Alabama,S,2022-01-27,,,Alabama,SEC,30
18,18,Rashad Torrence II,Florida,S,2022-01-27,,,Florida,SEC,30
19,19,Kelee Ringo,Georgia,CB,2022-01-27,,,Georgia,SEC,30
20,20,Zach Evans,Ole Miss,RB,2022-01-27,,,Mississippi,SEC,30
21,2,Zion Nelson,Miami (FL),OT,2022-01-27,,,Florida,ACC,30
22,17,Dontay Demus Jr.,Maryland,WR,2022-01-27,,,Maryland,Big Ten,30
23,7,Jalen Carter,Georgia,DL,2022-01-27,,,Georgia,SEC,30
24,24,Richard Jibunor,Troy,DL,2022-01-27,,,Alabama,FBS - Sun Belt,30
25,1,Zach Harrison,Ohio State,EDGE,2022-01-27,,,Ohio,Big Ten,30
26,26,Akeem Dent,Florida State,S,2022-01-27,,,Florida,ACC,25
27,25,Jordan Addison,Pitt,WR,2022-01-27,,,Pennsylvania,ACC,25
28,4,Nolan Smith,Georgia,DL,2022-01-27,,,Georgia,SEC,25
29,29,Lathan Ransom,Ohio State,S,2022-01-27,,,Ohio,Big Ten,25
30,2,Zach Charbonnet,UCLA,RB,2022-01-27,,,California,Pac 12,25
31,2,Henry To'oto'o,Alabama,LB,2022-01-27,,,Alabama,SEC,25
32,11,Tony Grimes,North Carolina,CB,2022-01-27,,,North Carolina,ACC,25
33,5,Isaiah Foskey,Notre Dame,EDGE,2022-01-27,,,Indiana,FBS - Independent,25
34,15,Zion Tupuola-Fetui,Washington,EDGE,2022-01-27,,,Washington,Pac 12,25
35,6,Tyler Davis,Clemson,DL,2022-01-27,,,South Carolina,ACC,25
36,22,Trenton Simpson,Clemson,LB,2022-01-27,,,South Carolina,ACC,20
37,1,Brandon Joseph,Notre Dame,S,2022-01-27,,,Indiana,FBS - Independent,20
38,38,Fabien Lovett,Florida State,DL,2022-01-27,,,Florida,ACC,20
39,7,Kevin Harris,Georgia Tech,EDGE,2022-01-27,,,Georgia,ACC,20
40,6,Jarrett Patterson,Notre Dame,IOL,2022-01-27,,,Indiana,FBS - Independent,20
41,3,Jahleel Billingsley,Texas,TE,2022-01-27,,,Texas,Big 12,20
42,6,Emil Ekiyor Jr.,Alabama,IOL,2022-01-27,,,Alabama,SEC,20
43,11,Josh Whyle,Cincinnati,TE,2022-01-27,,,Ohio,FBS - AAC,20
44,12,Sam LaPorta,Iowa,TE,2022-01-27,,,Iowa,Big Ten,20
45,2,Jalen Catalon,Arkansas,S,2022-01-27,,,Arkansas,SEC,20
46,13,Nehemiah Pritchett,Auburn,CB,2022-01-27,,,Alabama,SEC,20
47,15,Joseph Ngata,Clemson,WR,2022-01-27,,,South Carolina,ACC,20
