Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,C.J. Stroud,Ohio State,QB,2022-05-18,First Round,,Ohio,Big Ten,35
2,2,Bryce Young,Alabama,QB,2022-05-18,1,ATLANTA FALCONS,Alabama,SEC,35
3,2,Will Anderson Jr.,Alabama,EDGE,2022-05-18,First Round,,Alabama,SEC,35
4,4,Jalen Carter,Georgia,DL,2022-05-18,6,JACKSONVILLE JAGUARS,Georgia,SEC,35
5,4,Jaxon Smith-Njigba,Ohio State,WR,2022-05-18,First Round,,Ohio,Big Ten,35
6,5,Bryan Bresee,Clemson,DL,2022-05-18,5,NEW YORK JETS,South Carolina,ACC,35
7,7,Kelee Ringo,Georgia,CB,2022-05-18,10,WASHINGTON COMMANDERS,Georgia,SEC,35
8,1,Bijan Robinson,Texas,RB,2022-05-18,15,MIAMI DOLPHINS,Texas,Big 12,35
9,7,Myles Murphy,Clemson,EDGE,2022-05-18,19,PHILADELPHIA EAGLES,South Carolina,ACC,35
10,3,Eli Ricks,Alabama,CB,2022-05-18,8,CHICAGO BEARS,Alabama,SEC,35
11,8,Kayshon Boutte,LSU,WR,2022-05-18,20,BALTIMORE RAVENS,Louisiana,SEC,30
12,10,Michael Mayer,Notre Dame,TE,2022-05-18,17,TENNESSEE TITANS,Indiana,FBS - Independent,30
13,4,Jordan Addison,Pitt,WR,2022-05-18,12,MINNESOTA VIKINGS,Pennsylvania,ACC,30
14,9,Paris Johnson Jr.,Ohio State,OT,2022-05-18,First Round,,Ohio,Big Ten,30
15,6,Noah Sewell,Oregon,LB,2022-05-18,22,SEATTLE SEAHAWKS,Oregon,Pac 12,30
16,11,Nolan Smith,Georgia,EDGE,2022-05-18,16,NEW ENGLAND PATRIOTS,Georgia,SEC,30
17,4,B.J. Ojulari,LSU,EDGE,2022-05-18,First Round,,Louisiana,SEC,30
18,8,Peter Skoronski,Northwestern,OT,2022-05-18,11,PITTSBURGH STEELERS,Illinois,Big Ten,30
19,13,Trenton Simpson,Clemson,LB,2022-05-18,23,LOS ANGELES CHARGERS,South Carolina,ACC,30
20,7,Will Levis,Kentucky,QB,2022-05-18,2,HOUSTON TEXANS,Kentucky,SEC,30
21,20,Joey Porter Jr.,Penn State,CB,2022-05-18,First Round,,Pennsylvania,Big Ten,30
22,5,Jahmyr Gibbs,Alabama,RB,2022-05-18,18,HOUSTON TEXANS,Alabama,SEC,30
23,6,Tyler Van Dyke,Miami (FL),QB,2022-05-18,7,CAROLINA PANTHERS,Florida,ACC,30
24,2,Isaiah Foskey,Notre Dame,EDGE,2022-05-18,14,LAS VEGAS RAIDERS,Indiana,FBS - Independent,30
25,20,Malachi Moore,Alabama,S,2022-05-18,13,PHILADELPHIA EAGLES,Alabama,SEC,30
26,21,Brandon Joseph,Notre Dame,S,2022-05-18,21,ARIZONA CARDINALS,Indiana,FBS - Independent,25
27,3,Jordan Battle,Alabama,S,2022-05-18,26,DALLAS COWBOYS,Alabama,SEC,25
28,24,Spencer Rattler,South Carolina,QB,2022-05-18,First Round,,South Carolina,SEC,25
29,23,Marvin Mims,Oklahoma,WR,2022-05-18,First Round,,Oklahoma,Big 12,25
30,22,Phil Jurkovec,Boston College,QB,2022-05-18,First Round,,Massachusetts,ACC,25
31,31,Anthony Richardson,Florida,QB,2022-05-18,3,DETROIT LIONS,Florida,SEC,25
32,9,Zach Evans,Ole Miss,RB,2022-05-18,First Round,,Mississippi,SEC,25
33,17,Josh Downs,North Carolina,WR,2022-05-18,First Round,,North Carolina,ACC,25
34,17,Zion Nelson,Miami (FL),OT,2022-05-18,First Round,,Florida,ACC,25
35,11,Henry To'oto'o,Alabama,LB,2022-05-18,30,KANSAS CITY CHIEFS,Alabama,SEC,25
36,30,Cam Smith,South Carolina,CB,2022-05-18,First Round,,South Carolina,SEC,20
37,20,Jalen Catalon,Arkansas,S,2022-05-18,31,TAMPA BAY BUCCANEERS,Arkansas,SEC,20
38,9,Quentin Johnston,TCU,WR,2022-05-18,First Round,,Texas,Big 12,20
39,20,Clark Phillips III,Utah,CB,2022-05-18,First Round,,Utah,Pac 12,20
40,27,Derick Hall,Auburn,EDGE,2022-05-18,First Round,,Alabama,SEC,20
41,7,Jarrett Patterson,Notre Dame,IOL,2022-05-18,First Round,,Indiana,FBS - Independent,20
42,41,Jermaine Burton,Alabama,WR,2022-05-18,First Round,,Alabama,SEC,20
43,36,Byron Young,Alabama,DL,2022-05-18,First Round,,Alabama,SEC,20
44,44,Habakkuk Baldonado,Pitt,DL,2022-05-18,First Round,,Pennsylvania,ACC,20
45,33,Emil Ekiyor Jr.,Alabama,IOL,2022-05-18,First Round,,Alabama,SEC,20
46,29,Will McDonald IV,Iowa State,DL,2022-05-18,First Round,,Iowa,Big 12,20
47,31,Robert Scott Jr.,Florida State,OT,2022-05-18,First Round,,Florida,ACC,20
48,19,Dontay Demus Jr.,Maryland,WR,2022-05-18,First Round,,Maryland,Big Ten,20
49,46,Antonio Johnson,Texas A&M,S,2022-05-18,First Round,,Texas,SEC,20
50,28,D.J. Uiagalelei,Clemson,QB,2022-05-18,First Round,,South Carolina,ACC,20
51,42,Dawand Jones,Ohio State,OT,2022-05-18,First Round,,Ohio,Big Ten,20
52,41,Sam LaPorta,Iowa,TE,2022-05-18,First Round,,Iowa,Big Ten,20
53,36,Rakim Jarrett,Maryland,WR,2022-05-18,First Round,,Maryland,Big Ten,20
54,28,Justin Flowe,Oregon,LB,2022-05-18,28,DETROIT LIONS,Oregon,Pac 12,20
55,32,Hendon Hooker,Tennessee,QB,2022-05-18,First Round,,Tennessee,SEC,20
56,22,Broderick Jones,Georgia,OT,2022-05-18,First Round,,Georgia,SEC,20
57,37,Arik Gilbert,Georgia,TE,2022-05-18,First Round,,Georgia,SEC,20
