Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Jalen Carter,Georgia,DL,2023-02-14,3,ARIZONA CARDINALS,Georgia,SEC,35
2,1,Will Anderson Jr.,Alabama,EDGE,2023-02-14,1,CHICAGO BEARS,Alabama,SEC,35
3,1,Bryce Young,Alabama,QB,2023-02-14,2,HOUSTON TEXANS,Alabama,SEC,35
4,1,C.J. Stroud,Ohio State,QB,2023-02-14,4,INDIANAPOLIS COLTS,Ohio,Big Ten,35
5,5,Will Levis,Kentucky,QB,2023-02-14,7,LAS VEGAS RAIDERS,Kentucky,SEC,35
6,4,Myles Murphy,Clemson,EDGE,2023-02-14,8,ATLANTA FALCONS,South Carolina,ACC,35
7,7,Christian Gonzalez,Oregon,CB,2023-02-14,6,DETROIT LIONS,Oregon,Pac 12,35
8,4,Tyree Wilson,Texas Tech,EDGE,2023-02-14,5,SEATTLE SEAHAWKS,Texas,Big 12,35
9,5,Joey Porter Jr.,Penn State,CB,2023-02-14,16,WASHINGTON COMMANDERS,Pennsylvania,Big Ten,35
10,10,Devon Witherspoon,Illinois,CB,2023-02-14,10,PHILADELPHIA EAGLES,Illinois,Big Ten,35
11,4,Paris Johnson Jr.,Ohio State,OT,2023-02-14,11,TENNESSEE TITANS,Ohio,Big Ten,30
12,5,Peter Skoronski,Northwestern,OT,2023-02-14,17,PITTSBURGH STEELERS,Illinois,Big Ten,30
13,7,Quentin Johnston,TCU,WR,2023-02-14,12,HOUSTON TEXANS,Texas,Big 12,30
14,14,Anthony Richardson,Florida,QB,2023-02-14,9,CAROLINA PANTHERS,Florida,SEC,30
15,8,Jordan Addison,USC,WR,2023-02-14,21,LOS ANGELES CHARGERS,California,Pac 12,30
16,5,Bijan Robinson,Texas,RB,2023-02-14,19,TAMPA BAY BUCCANEERS,Texas,Big 12,30
17,10,Michael Mayer,Notre Dame,TE,2023-02-14,15,GREEN BAY PACKERS,Indiana,FBS - Independent,30
18,14,Brian Branch,Alabama,S,2023-02-14,14,NEW ENGLAND PATRIOTS,Alabama,SEC,30
19,4,Jaxon Smith-Njigba,Ohio State,WR,2023-02-14,22,BALTIMORE RAVENS,Ohio,Big Ten,30
20,2,Bryan Bresee,Clemson,DL,2023-02-14,18,DETROIT LIONS,South Carolina,ACC,30
21,14,Broderick Jones,Georgia,OT,2023-02-14,13,NEW YORK JETS,Georgia,SEC,30
22,8,Cam Smith,South Carolina,CB,2023-02-14,30,PHILADELPHIA EAGLES,South Carolina,SEC,30
23,4,Kelee Ringo,Georgia,CB,2023-02-14,23,MINNESOTA VIKINGS,Georgia,SEC,30
24,24,Lukas Van Ness,Iowa,EDGE,2023-02-14,First Round,,Iowa,Big Ten,30
25,19,O'Cyrus Torrence,Florida,IOL,2023-02-14,20,SEATTLE SEAHAWKS,Florida,SEC,30
26,12,Trenton Simpson,Clemson,LB,2023-02-14,First Round,,South Carolina,ACC,25
27,26,Jalin Hyatt,Tennessee,WR,2023-02-14,26,DALLAS COWBOYS,Tennessee,SEC,25
28,21,Jahmyr Gibbs,Alabama,RB,2023-02-14,38,LAS VEGAS RAIDERS,Alabama,SEC,25
29,29,Zay Flowers,Boston College,WR,2023-02-14,25,NEW YORK GIANTS,Massachusetts,ACC,25
30,24,Clark Phillips III,Utah,CB,2023-02-14,50,TAMPA BAY BUCCANEERS,Utah,Pac 12,25
31,26,Drew Sanders,Arkansas,LB,2023-02-14,First Round,,Arkansas,SEC,25
32,17,Nolan Smith,Georgia,EDGE,2023-02-14,31,KANSAS CITY CHIEFS,Georgia,SEC,25
33,16,Isaiah Foskey,Notre Dame,EDGE,2023-02-14,First Round,,Indiana,FBS - Independent,25
34,28,Anton Harrison,Oklahoma,OT,2023-02-14,28,CINCINNATI BENGALS,Oklahoma,Big 12,25
35,19,Antonio Johnson,Texas A&M,S,2023-02-14,27,BUFFALO BILLS,Texas,SEC,25
36,30,Emmanuel Forbes,Mississippi State,CB,2023-02-14,36,LOS ANGELES RAMS,Mississippi,SEC,20
37,24,Darnell Washington,Georgia,TE,2023-02-14,39,CAROLINA PANTHERS,Georgia,SEC,20
38,38,Dalton Kincaid,Utah,TE,2023-02-14,24,JACKSONVILLE JAGUARS,Utah,Pac 12,20
39,19,B.J. Ojulari,LSU,EDGE,2023-02-14,61,CAROLINA PANTHERS,Louisiana,SEC,20
40,27,Dawand Jones,Ohio State,OT,2023-02-14,32,PITTSBURGH STEELERS,Ohio,Big Ten,20
41,32,Siaki Ika,Baylor,DL,2023-02-14,29,NEW ORLEANS SAINTS,Texas,Big 12,20
42,41,Luke Musgrave,Oregon State,TE,2023-02-14,33,HOUSTON TEXANS,Oregon,Pac 12,20
43,40,Darnell Wright,Tennessee,OT,2023-02-14,45,GREEN BAY PACKERS,Tennessee,SEC,20
44,37,Keion White,Georgia Tech,EDGE,2023-02-14,35,INDIANAPOLIS COLTS,Georgia,ACC,20
45,30,Felix Anudike-Uzomah,Kansas State,EDGE,2023-02-14,First Round,,Kansas,Big 12,20
46,29,Josh Downs,North Carolina,WR,2023-02-14,First Round,,North Carolina,ACC,20
47,42,John Michael Schmitz,Minnesota,IOL,2023-02-14,43,NEW YORK JETS,Minnesota,Big Ten,20
48,38,Tuli Tuipulotu,USC,DL,2023-02-14,First Round,,California,Pac 12,20
49,46,Calijah Kancey,Pitt,DL,2023-02-14,First Round,,Pennsylvania,ACC,20
50,26,Derick Hall,Auburn,EDGE,2023-02-14,34,ARIZONA CARDINALS,Alabama,SEC,20
51,39,Mazi Smith,Michigan,DL,2023-02-14,42,CLEVELAND BROWNS,Michigan,Big Ten,20
52,41,Cody Mauch,North Dakota State,IOL,2023-02-14,First Round,,North Dakota,FCS,20
53,44,Deonte Banks,Maryland,CB,2023-02-14,60,CINCINNATI BENGALS,Maryland,Big Ten,20
54,26,Noah Sewell,Oregon,LB,2023-02-14,48,DETROIT LIONS,Oregon,Pac 12,20
55,22,Kayshon Boutte,LSU,WR,2023-02-14,44,ATLANTA FALCONS,Louisiana,SEC,20
56,47,Will McDonald IV,Iowa State,EDGE,2023-02-14,41,TENNESSEE TITANS,Iowa,Big 12,20
57,25,Gervon Dexter,Florida,DL,2023-02-14,First Round,,Florida,SEC,20
58,58,Keeanu Benton,Wisconsin,DL,2023-02-14,First Round,,Wisconsin,Big Ten,20
59,31,Devon Achane,Texas A&M,RB,2023-02-14,First Round,,Texas,SEC,20
60,22,Andre Carter II,Army,EDGE,2023-02-14,First Round,,Kansas,FBS - Independent,15
61,49,Tyrique Stevenson,Miami (FL),CB,2023-02-14,37,SEATTLE SEAHAWKS,Florida,ACC,15
62,51,Matthew Bergeron,Syracuse,OT,2023-02-14,First Round,,New York,ACC,15
63,36,Tucker Kraft,South Dakota State,TE,2023-02-14,56,JACKSONVILLE JAGUARS,South Dakota,FCS,15
64,24,Jaelyn Duncan,Maryland,OT,2023-02-14,53,CHICAGO BEARS,Maryland,Big Ten,15
65,45,Zach Charbonnet,UCLA,RB,2023-02-14,55,DETROIT LIONS,California,Pac 12,15
66,38,Henry To'oto'o,Alabama,LB,2023-02-14,51,MIAMI DOLPHINS,Alabama,SEC,15
