Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Will Anderson Jr.,Alabama,EDGE,2023-02-10,1,CHICAGO BEARS,Alabama,SEC,35
2,1,C.J. Stroud,Ohio State,QB,2023-02-10,First Round,,Ohio,Big Ten,35
3,1,Jalen Carter,Georgia,DL,2023-02-10,3,ARIZONA CARDINALS,Georgia,SEC,35
4,1,Bryce Young,Alabama,QB,2023-02-10,2,HOUSTON TEXANS,Alabama,SEC,35
5,5,Will Levis,Kentucky,QB,2023-02-10,4,INDIANAPOLIS COLTS,Kentucky,SEC,35
6,4,Myles Murphy,Clemson,EDGE,2023-02-10,6,DETROIT LIONS,South Carolina,ACC,35
7,7,Christian Gonzalez,Oregon,CB,2023-02-10,16,WASHINGTON COMMANDERS,Oregon,Pac 12,35
8,5,Joey Porter Jr.,Penn State,CB,2023-02-10,8,ATLANTA FALCONS,Pennsylvania,Big Ten,35
9,5,Tyree Wilson,Texas Tech,EDGE,2023-02-10,5,SEATTLE SEAHAWKS,Texas,Big 12,35
10,7,Quentin Johnston,TCU,WR,2023-02-10,14,NEW ENGLAND PATRIOTS,Texas,Big 12,35
11,4,Paris Johnson Jr.,Ohio State,OT,2023-02-10,7,LAS VEGAS RAIDERS,Ohio,Big Ten,30
12,5,Peter Skoronski,Northwestern,OT,2023-02-10,11,TENNESSEE TITANS,Illinois,Big Ten,30
13,8,Jordan Addison,USC,WR,2023-02-10,12,HOUSTON TEXANS,California,Pac 12,30
14,14,Devon Witherspoon,Illinois,CB,2023-02-10,10,PHILADELPHIA EAGLES,Illinois,Big Ten,30
15,5,Bijan Robinson,Texas,RB,2023-02-10,First Round,,Texas,Big 12,30
16,13,Anthony Richardson,Florida,QB,2023-02-10,9,CAROLINA PANTHERS,Florida,SEC,30
17,10,Michael Mayer,Notre Dame,TE,2023-02-10,21,LOS ANGELES CHARGERS,Indiana,FBS - Independent,30
18,16,Brian Branch,Alabama,S,2023-02-10,15,GREEN BAY PACKERS,Alabama,SEC,30
19,2,Bryan Bresee,Clemson,DL,2023-02-10,42,CLEVELAND BROWNS,South Carolina,ACC,30
20,5,Kelee Ringo,Georgia,CB,2023-02-10,17,PITTSBURGH STEELERS,Georgia,SEC,30
21,4,Jaxon Smith-Njigba,Ohio State,WR,2023-02-10,22,BALTIMORE RAVENS,Ohio,Big Ten,30
22,9,Cam Smith,South Carolina,CB,2023-02-10,19,TAMPA BAY BUCCANEERS,South Carolina,SEC,30
23,13,Broderick Jones,Georgia,OT,2023-02-10,13,NEW YORK JETS,Georgia,SEC,30
24,24,Lukas Van Ness,Iowa,EDGE,2023-02-10,20,SEATTLE SEAHAWKS,Iowa,Big Ten,30
25,19,O'Cyrus Torrence,Florida,IOL,2023-02-10,27,BUFFALO BILLS,Florida,SEC,30
26,12,Trenton Simpson,Clemson,LB,2023-02-10,18,DETROIT LIONS,South Carolina,ACC,25
27,16,Jahmyr Gibbs,Alabama,RB,2023-02-10,31,PHILADELPHIA EAGLES,Alabama,SEC,25
28,22,Clark Phillips III,Utah,CB,2023-02-10,23,MINNESOTA VIKINGS,Utah,Pac 12,25
29,27,Jalin Hyatt,Tennessee,WR,2023-02-10,25,NEW YORK GIANTS,Tennessee,SEC,25
30,26,Drew Sanders,Arkansas,LB,2023-02-10,26,DALLAS COWBOYS,Arkansas,SEC,25
31,9,Isaiah Foskey,Notre Dame,EDGE,2023-02-10,63,PHILADELPHIA EAGLES,Indiana,FBS - Independent,25
32,28,Anton Harrison,Oklahoma,OT,2023-02-10,28,CINCINNATI BENGALS,Oklahoma,Big 12,25
33,27,Darnell Washington,Georgia,TE,2023-02-10,39,CAROLINA PANTHERS,Georgia,SEC,25
34,19,Antonio Johnson,Texas A&M,S,2023-02-10,45,GREEN BAY PACKERS,Texas,SEC,25
35,19,B.J. Ojulari,LSU,EDGE,2023-02-10,29,NEW ORLEANS SAINTS,Louisiana,SEC,25
36,16,Nolan Smith,Georgia,EDGE,2023-02-10,33,HOUSTON TEXANS,Georgia,SEC,20
37,28,Dawand Jones,Ohio State,OT,2023-02-10,First Round,,Ohio,Big Ten,20
38,35,Zay Flowers,Boston College,WR,2023-02-10,First Round,,Massachusetts,ACC,20
39,27,Siaki Ika,Baylor,DL,2023-02-10,32,PITTSBURGH STEELERS,Texas,Big 12,20
40,32,Emmanuel Forbes,Mississippi State,CB,2023-02-10,44,ATLANTA FALCONS,Mississippi,SEC,20
41,41,Dalton Kincaid,Utah,TE,2023-02-10,24,JACKSONVILLE JAGUARS,Utah,Pac 12,20
42,39,Tuli Tuipulotu,USC,DL,2023-02-10,58,DALLAS COWBOYS,California,Pac 12,20
43,29,Josh Downs,North Carolina,WR,2023-02-10,41,TENNESSEE TITANS,North Carolina,ACC,20
44,32,Felix Anudike-Uzomah,Kansas State,EDGE,2023-02-10,36,LOS ANGELES RAMS,Kansas,Big 12,20
45,43,Luke Musgrave,Oregon State,TE,2023-02-10,51,MIAMI DOLPHINS,Oregon,Pac 12,20
46,39,Mazi Smith,Michigan,DL,2023-02-10,37,SEATTLE SEAHAWKS,Michigan,Big Ten,20
47,25,Gervon Dexter,Florida,DL,2023-02-10,First Round,,Florida,SEC,20
48,22,Kayshon Boutte,LSU,WR,2023-02-10,64,CHICAGO BEARS,Louisiana,SEC,20
49,25,Noah Sewell,Oregon,LB,2023-02-10,First Round,,Oregon,Pac 12,20
50,42,Darnell Wright,Tennessee,OT,2023-02-10,46,NEW ENGLAND PATRIOTS,Tennessee,SEC,20
51,26,Derick Hall,Auburn,EDGE,2023-02-10,30,KANSAS CITY CHIEFS,Alabama,SEC,20
52,46,Calijah Kancey,Pitt,DL,2023-02-10,First Round,,Pennsylvania,ACC,20
53,41,Cody Mauch,North Dakota State,IOL,2023-02-10,38,LAS VEGAS RAIDERS,North Dakota,FCS,20
54,31,Devon Achane,Texas A&M,RB,2023-02-10,First Round,,Texas,SEC,20
55,37,John Michael Schmitz,Minnesota,IOL,2023-02-10,First Round,,Minnesota,Big Ten,20
56,21,Andre Carter II,Army,EDGE,2023-02-10,First Round,,Kansas,FBS - Independent,20
57,52,Tyrique Stevenson,Miami (FL),CB,2023-02-10,First Round,,Florida,ACC,20
58,37,Keion White,Georgia Tech,EDGE,2023-02-10,54,LOS ANGELES CHARGERS,Georgia,ACC,20
59,47,Will McDonald IV,Iowa State,EDGE,2023-02-10,47,WASHINGTON COMMANDERS,Iowa,Big 12,20
60,53,Matthew Bergeron,Syracuse,OT,2023-02-10,53,CHICAGO BEARS,New York,ACC,15
61,36,Tucker Kraft,South Dakota State,TE,2023-02-10,60,CINCINNATI BENGALS,South Dakota,FCS,15
62,48,Deonte Banks,Maryland,CB,2023-02-10,34,ARIZONA CARDINALS,Maryland,Big Ten,15
63,40,Zach Harrison,Ohio State,EDGE,2023-02-10,First Round,,Ohio,Big Ten,15
64,62,Jaquelin Roy,LSU,DL,2023-02-10,First Round,,Louisiana,SEC,15
65,35,Henry To'oto'o,Alabama,LB,2023-02-10,,,Alabama,SEC,15
66,27,Tanner McKee,Stanford,QB,2023-02-10,43,NEW YORK JETS,California,Pac 12,15
67,45,Zach Charbonnet,UCLA,RB,2023-02-10,,,California,Pac 12,15
68,30,Rashee Rice,SMU,WR,2023-02-10,61,CAROLINA PANTHERS,Texas,FBS - AAC,15
69,60,Sydney Brown,Illinois,S,2023-02-10,,,Illinois,Big Ten,15
70,26,Jaelyn Duncan,Maryland,OT,2023-02-10,35,INDIANAPOLIS COLTS,Maryland,Big Ten,15
71,32,Zach Evans,Ole Miss,RB,2023-02-10,,,Mississippi,SEC,10
72,42,Brandon Joseph,Notre Dame,S,2023-02-10,,,Indiana,FBS - Independent,10
73,44,Chris Smith II,Georgia,S,2023-02-10,,,Georgia,SEC,10
74,31,Eli Ricks,Alabama,CB,2023-02-10,,,Alabama,SEC,10
75,54,Steve Avila,TCU,IOL,2023-02-10,59,BUFFALO BILLS,Texas,Big 12,10
76,33,Jordan Battle,Alabama,S,2023-02-10,55,DETROIT LIONS,Alabama,SEC,10
77,44,Jack Campbell,Iowa,LB,2023-02-10,57,NEW YORK GIANTS,Iowa,Big Ten,10
78,46,J.L. Skinner,Boise State,S,2023-02-10,,,Idaho,FBS - Mountain West,10
79,58,Jammie Robinson,Florida State,S,2023-02-10,,,Florida,ACC,10
80,37,Jaylon Jones,Texas A&M,CB,2023-02-10,,,Texas,SEC,10
81,81,Keeanu Benton,Wisconsin,DL,2023-02-10,48,DETROIT LIONS,Wisconsin,Big Ten,10
82,30,Cedric Tillman,Tennessee,WR,2023-02-10,52,SEATTLE SEAHAWKS,Tennessee,SEC,10
83,63,Nathaniel Dell,Houston,WR,2023-02-10,,,Texas,FBS - AAC,10
84,57,D.J. Turner,Michigan,CB,2023-02-10,,,Michigan,Big Ten,10
85,60,Kyu Blu Kelly,Stanford,CB,2023-02-10,50,TAMPA BAY BUCCANEERS,California,Pac 12,10
86,39,Garrett Williams,Syracuse,CB,2023-02-10,,,New York,ACC,10
87,19,Hendon Hooker,Tennessee,QB,2023-02-10,40,NEW ORLEANS SAINTS,Tennessee,SEC,10
88,58,Marvin Mims,Oklahoma,WR,2023-02-10,,,Oklahoma,Big 12,10
89,81,Sam LaPorta,Iowa,TE,2023-02-10,,,Iowa,Big Ten,10
90,41,Sean Tucker,Syracuse,RB,2023-02-10,,,New York,ACC,10
91,67,Luke Wypler,Ohio State,IOL,2023-02-10,,,Ohio,Big Ten,10
92,78,Adetomiwa Adebawore,Northwestern,EDGE,2023-02-10,,,Illinois,Big Ten,10
93,79,Jarrett Patterson,Notre Dame,IOL,2023-02-10,,,Indiana,FBS - Independent,10
94,69,Byron Young (TN),Tennessee,EDGE,2023-02-10,,,Tennessee,SEC,10
95,46,Tank Bigsby,Auburn,RB,2023-02-10,,,Alabama,SEC,10
96,69,Dontayvion Wicks,Virginia,WR,2023-02-10,,,Virginia,ACC,10
