Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Will Anderson Jr.,Alabama,EDGE,2022-12-14,3,CHICAGO BEARS,Alabama,SEC,35
2,1,Bryce Young,Alabama,QB,2022-12-14,1,HOUSTON TEXANS,Alabama,SEC,35
3,3,Jalen Carter,Georgia,DL,2022-12-14,2,SEATTLE SEAHAWKS,Georgia,SEC,35
4,1,C.J. Stroud,Ohio State,QB,2022-12-14,4,DETROIT LIONS,Ohio,Big Ten,35
5,3,Myles Murphy,Clemson,EDGE,2022-12-14,5,PHILADELPHIA EAGLES,South Carolina,ACC,35
6,4,Kelee Ringo,Georgia,CB,2022-12-14,8,LAS VEGAS RAIDERS,Georgia,SEC,35
7,6,Bryan Bresee,Clemson,DL,2022-12-14,9,CAROLINA PANTHERS,South Carolina,ACC,35
8,6,Quentin Johnston,TCU,WR,2022-12-14,12,HOUSTON TEXANS,Texas,Big 12,35
9,7,Tyree Wilson,Texas Tech,EDGE,2022-12-14,10,ATLANTA FALCONS,Texas,Big 12,35
10,6,Will Levis,Kentucky,QB,2022-12-14,First Round,,Kentucky,SEC,35
11,7,Joey Porter Jr.,Penn State,CB,2022-12-14,First Round,,Pennsylvania,Big Ten,30
12,6,Jordan Addison,USC,WR,2022-12-14,First Round,,California,Pac 12,30
13,7,Peter Skoronski,Northwestern,OT,2022-12-14,7,INDIANAPOLIS COLTS,Illinois,Big Ten,30
14,14,Christian Gonzalez,Oregon,CB,2022-12-14,6,ARIZONA CARDINALS,Oregon,Pac 12,30
15,9,Michael Mayer,Notre Dame,TE,2022-12-14,14,GREEN BAY PACKERS,Indiana,FBS - Independent,30
16,1,Bijan Robinson,Texas,RB,2022-12-14,25,BALTIMORE RAVENS,Texas,Big 12,30
17,12,Cam Smith,South Carolina,CB,2022-12-14,First Round,,South Carolina,SEC,30
18,7,Paris Johnson Jr.,Ohio State,OT,2022-12-14,13,PITTSBURGH STEELERS,Ohio,Big Ten,30
