ScrapeDate,BigBoardsUsed,MockDraftsUsed,TeamBasedMockDraftsUsed,ProspectCount,LastUpdated
2021-07-19,15,44,7,332,3 hours ago
2021-07-21,15,44,7,332,2 days ago
2021-07-27,11,43,8,334,13 hours ago
2021-08-02,9,46,10,337,28 minutes ago
2021-08-10,7,50,11,339,17 hours ago
2021-08-15,5,52,12,341,10 hours ago
2021-09-03,12,62,12,446,11 hours ago
2021-09-06,13,64,17,455,10 hours ago
2021-09-12,13,69,20,467,6 hours ago
2021-09-15,14,74,21,479,3 hours ago
2021-09-24,16,87,28,488,1 day ago
2021-10-02,18,97,31,492,8 hours ago
2021-10-03,18,95,33,494,2 hours ago
2021-10-05,18,96,35,494,12 hours ago
2021-10-08,20,101,40,496,20 minutes ago
2021-10-10,19,100,40,502,1 hour ago
2021-10-14,19,108,43,502,2 hours ago
2021-10-16,20,114,45,506,13 hours ago
2021-10-20,20,120,54,516,11 hours ago
2021-10-25,20,128,65,550,2 hours ago
2021-10-27,21,132,68,554,3 hours ago
2021-11-01,20,135,72,566,36 minutes ago
2021-11-03,17,136,75,566,1 hour ago
2021-11-04,17,139,72,566,5 hours ago
2021-11-08,20,142,77,568,10 hours ago
2021-11-11,19,145,82,577,12 hours ago
2021-11-15,25,146,87,581,2 days ago
2021-11-17,25,145,86,585,10 hours ago
2021-11-17,26,147,86,587,4 hours ago
2021-11-22,29,147,91,596,5 hours ago
2021-11-29,26,150,100,603,1 hour ago
2021-12-02,29,159,102,613,2 hours ago
2021-12-08,28,170,108,619,4 minutes ago
2021-12-09,28,174,117,624,3 hours ago
2021-12-13,30,174,121,607,2 hours ago
2021-12-22,31,180,121,623,4 hours ago
2021-12-28,30,179,119,598,4 hours ago
2021-12-31,30,183,125,588,8 hours ago
2022-01-01,30,184,125,580,2 hours ago
2022-01-03,31,180,130,581,2 hours ago
2022-01-04,31,183,132,589,3 hours ago
2022-01-10,30,187,145,566,11 hours ago
2022-01-11,30,197,146,563,11 hours ago
2022-01-14,28,207,156,543,1 hour ago
2022-01-17,26,206,165,541,2 hours ago
2022-01-18,26,210,168,540,11 hours ago
2022-01-20,25,214,172,546,17 minutes ago
2022-01-22,26,218,181,558,1 hour ago
2022-01-27,26,219,191,493,5 hours ago
2022-02-01,24,227,208,496,11 hours ago
2022-02-08,26,231,233,499,11 hours ago
2022-02-09,27,238,241,503,2 hours ago
2022-02-19,26,269,272,522,10 hours ago
2022-02-28,29,288,326,548,2 hours ago
2022-03-02,28,290,327,548,1 hour ago
2022-03-03,28,286,325,548,4 hours ago
2022-03-04,28,287,328,548,10 minutes ago
2022-03-08,29,301,336,549,3 hours ago
2022-03-09,30,315,343,549,5 hours ago
2022-03-10,31,319,347,550,12 hours ago
2022-03-11,31,322,351,553,3 hours ago
