ScrapeDate,NumberOfSchools,TopSchool,TopProjectedPoints,ProspectCountForTopSchool
2021-10-03,111,Alabama,208,21
2021-10-05,111,Alabama,208,21
2021-10-08,112,Alabama,207,21
2021-10-10,112,Alabama,202,21
2021-10-14,112,Alabama,214,21
2021-10-16,112,Alabama,213,21
2021-10-20,112,Georgia,214,19
2021-10-25,112,Georgia,227,22
2021-10-27,112,Georgia,214,22
2021-11-01,113,Georgia,213,22
2021-11-03,113,Georgia,213,22
2021-11-04,113,Georgia,208,22
2021-11-08,114,Georgia,215,22
2021-11-11,116,Georgia,212,22
2021-11-15,117,Georgia,213,22
2021-11-17,118,Georgia,225,22
2021-11-17,118,Georgia,214,22
2021-11-22,120,Georgia,220,22
2021-11-29,120,Georgia,217,22
2021-12-02,121,Georgia,212,22
2021-12-08,122,Georgia,207,23
2021-12-09,122,Georgia,211,23
2021-12-13,122,Georgia,223,23
2021-12-22,125,Georgia,225,23
2021-12-28,126,Georgia,226,23
2021-12-31,125,Georgia,225,22
2022-01-01,125,Georgia,222,22
2022-01-03,125,Georgia,217,22
2022-01-04,125,Georgia,216,22
2022-01-10,125,Georgia,232,22
2022-01-11,125,Georgia,232,21
2022-01-14,126,Georgia,238,22
2022-01-17,126,Georgia,234,21
2022-01-18,126,Georgia,234,21
2022-01-20,127,Georgia,225,18
2022-01-22,128,Georgia,226,19
2022-01-27,128,Georgia,234,17
2022-02-01,129,Georgia,234,17
2022-02-08,129,Georgia,244,17
2022-02-09,130,Georgia,247,17
2022-02-19,135,Georgia,234,16
2022-02-28,139,Georgia,231,16
2022-03-02,139,Georgia,231,16
2022-03-03,139,Georgia,230,16
2022-03-04,139,Georgia,232,16
2022-03-08,139,Georgia,234,16
2022-03-09,139,Georgia,238,16
2022-03-10,139,Georgia,238,16
2022-03-11,142,Georgia,241,16
2022-03-13,142,Georgia,241,16
2022-03-14,142,Georgia,241,16
2022-03-15,142,Georgia,228,16
2022-03-16,142,Georgia,228,16
2022-03-17,142,Georgia,228,16
2022-03-21,146,Georgia,228,16
2022-03-22,146,Georgia,233,16
2022-03-23,148,Georgia,234,16
2022-03-24,150,Georgia,234,16
2022-03-25,150,Georgia,239,16
2022-03-28,150,Georgia,239,16
2022-03-30,149,Georgia,233,16
2022-04-01,149,Georgia,238,16
2022-04-03,151,Georgia,243,16
2022-04-04,151,Georgia,245,16
2022-04-06,159,Georgia,243,16
2022-04-08,160,Georgia,242,16
2022-04-11,160,Georgia,239,16
2022-04-12,162,Georgia,243,16
2022-04-20,162,Georgia,247,16
2022-04-22,163,Georgia,244,16
2022-04-25,165,Georgia,240,16
