Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Aidan Hutchinson,Michigan,EDGE,2022-01-11,1,JACKSONVILLE JAGUARS,Michigan,Big Ten,35
2,1,Kayvon Thibodeaux,Oregon,EDGE,2022-01-11,2,DETROIT LIONS,Oregon,Pac 12,35
3,2,Evan Neal,Alabama,OT,2022-01-11,3,HOUSTON TEXANS,Alabama,SEC,35
4,1,Derek Stingley Jr.,LSU,CB,2022-01-11,8,ATLANTA FALCONS,Louisiana,SEC,35
5,2,Kyle Hamilton,Notre Dame,S,2022-01-11,4,NEW YORK JETS,Indiana,FBS - Independent,35
6,4,George Karlaftis,Purdue,EDGE,2022-01-11,5,NEW YORK GIANTS,Indiana,Big Ten,35
7,7,Ikem Ekwonu,NC State,OT,2022-01-11,Possible 1st round pick,No Consensus Available,North Carolina,ACC,35
8,8,Kenny Pickett,Pitt,QB,2022-01-11,6,CAROLINA PANTHERS,Pennsylvania,ACC,35
9,8,Charles Cross,Mississippi State,OT,2022-01-11,22,MIAMI DOLPHINS,Mississippi,SEC,35
10,7,Tyler Linderbaum,Iowa,IOL,2022-01-11,7,NEW YORK GIANTS,Iowa,Big Ten,35
11,11,Jameson Williams,Alabama,WR,2022-01-11,10,NEW YORK JETS,Alabama,SEC,30
12,9,Matt Corral,Ole Miss,QB,2022-01-11,9,DENVER BRONCOS,Mississippi,SEC,30
13,9,Garrett Wilson,Ohio State,WR,2022-01-11,13,CLEVELAND BROWNS,Ohio,Big Ten,30
14,13,Ahmad Gardner,Cincinnati,CB,2022-01-11,15,PHILADELPHIA EAGLES,Ohio,FBS - AAC,30
15,15,David Ojabo,Michigan,EDGE,2022-01-11,16,PHILADELPHIA EAGLES,Michigan,Big Ten,30
16,7,Andrew Booth Jr.,Clemson,CB,2022-01-11,12,MINNESOTA VIKINGS,South Carolina,ACC,30
17,5,DeMarvin Leal,Texas A&M,DL,2022-01-11,14,BALTIMORE RAVENS,Texas,SEC,30
18,13,Devin Lloyd,Utah,LB,2022-01-11,19,PHILADELPHIA EAGLES,Utah,Pac 12,30
19,1,Chris Olave,Ohio State,WR,2022-01-11,18,NEW ORLEANS SAINTS,Ohio,Big Ten,30
20,15,Treylon Burks,Arkansas,WR,2022-01-11,21,NEW ENGLAND PATRIOTS,Arkansas,SEC,30
21,19,Nakobe Dean,Georgia,LB,2022-01-11,Possible 1st round pick,No Consensus Available,Georgia,SEC,30
22,6,Kenyon Green,Texas A&M,IOL,2022-01-11,25,CINCINNATI BENGALS,Texas,SEC,30
