Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Kayvon Thibodeaux,Oregon,EDGE,2021-12-09,3,HOUSTON TEXANS,Oregon,Pac 12,35
2,2,Aidan Hutchinson,Michigan,EDGE,2021-12-09,1,DETROIT LIONS,Michigan,Big Ten,35
3,2,Evan Neal,Alabama,OT,2021-12-09,2,JACKSONVILLE JAGUARS,Alabama,SEC,35
4,1,Derek Stingley Jr.,LSU,CB,2021-12-09,4,NEW YORK JETS,Louisiana,SEC,35
5,2,Kyle Hamilton,Notre Dame,S,2021-12-09,5,NEW YORK JETS,Indiana,FBS - Independent,35
6,6,George Karlaftis,Purdue,EDGE,2021-12-09,6,NEW YORK GIANTS,Indiana,Big Ten,35
7,7,Matt Corral,Ole Miss,QB,2021-12-09,8,ATLANTA FALCONS,Mississippi,SEC,35
8,7,Tyler Linderbaum,Iowa,IOL,2021-12-09,7,NEW YORK GIANTS,Iowa,Big Ten,35
9,9,Garrett Wilson,Ohio State,WR,2021-12-09,11,NEW ORLEANS SAINTS,Ohio,Big Ten,35
10,10,Ikem Ekwonu,NC State,IOL,2021-12-09,Possible 1st round pick,No Consensus Available,North Carolina,ACC,35
11,7,Kenyon Green,Texas A&M,IOL,2021-12-09,19,MIAMI DOLPHINS,Texas,SEC,30
12,6,Andrew Booth Jr.,Clemson,CB,2021-12-09,10,MINNESOTA VIKINGS,South Carolina,ACC,30
13,13,Charles Cross,Mississippi State,OT,2021-12-09,14,DENVER BRONCOS,Mississippi,SEC,30
14,4,DeMarvin Leal,Texas A&M,DL,2021-12-09,13,PHILADELPHIA EAGLES,Texas,SEC,30
15,1,Chris Olave,Ohio State,WR,2021-12-09,16,CLEVELAND BROWNS,Ohio,Big Ten,30
16,1,Jordan Davis,Georgia,DL,2021-12-09,23,LOS ANGELES CHARGERS,Georgia,SEC,30
17,6,Kaiir Elam,Florida,CB,2021-12-09,21,BUFFALO BILLS,Florida,SEC,30
18,18,Devin Lloyd,Utah,LB,2021-12-09,12,PHILADELPHIA EAGLES,Utah,Pac 12,30
19,14,Ahmad Gardner,Cincinnati,CB,2021-12-09,22,CINCINNATI BENGALS,Ohio,FBS - AAC,30
20,12,Kenny Pickett,Pitt,QB,2021-12-09,9,CAROLINA PANTHERS,Pennsylvania,ACC,30
21,19,Nakobe Dean,Georgia,LB,2021-12-09,29,TENNESSEE TITANS,Georgia,SEC,30
22,16,Treylon Burks,Arkansas,WR,2021-12-09,24,DETROIT LIONS,Arkansas,SEC,30
23,18,Drake London,USC,WR,2021-12-09,30,GREEN BAY PACKERS,California,Pac 12,30
24,8,Malik Willis,Liberty,QB,2021-12-09,20,WASHINGTON FOOTBALL TEAM,Virginia,FCS,30
25,25,David Ojabo,Michigan,EDGE,2021-12-09,17,PHILADELPHIA EAGLES,Michigan,Big Ten,30
26,26,Jameson Williams,Alabama,WR,2021-12-09,15,LAS VEGAS RAIDERS,Alabama,SEC,25
27,3,Sam Howell,North Carolina,QB,2021-12-09,18,PITTSBURGH STEELERS,North Carolina,ACC,25
28,6,Drake Jackson,USC,EDGE,2021-12-09,Possible 1st round pick,No Consensus Available,California,Pac 12,25
29,15,Trent McDuffie,Washington,CB,2021-12-09,28,TAMPA BAY BUCCANEERS,Washington,Pac 12,25
30,27,Jahan Dotson,Penn State,WR,2021-12-09,26,KANSAS CITY CHIEFS,Pennsylvania,Big Ten,25
31,25,Trevor Penning,Northern Iowa,OT,2021-12-09,27,BALTIMORE RAVENS,Iowa,FCS,25
32,26,Daxton Hill,Michigan,S,2021-12-09,25,DALLAS COWBOYS,Michigan,Big Ten,25
33,13,Carson Strong,Nevada,QB,2021-12-09,,,Nevada,FBS - Mountain West,25
34,26,Kingsley Enagbare,South Carolina,EDGE,2021-12-09,,,South Carolina,SEC,25
35,35,Jaquan Brisker,Penn State,S,2021-12-09,,,Pennsylvania,Big Ten,25
36,16,Darian Kinnard,Kentucky,OT,2021-12-09,,,Kentucky,SEC,20
37,24,Desmond Ridder,Cincinnati,QB,2021-12-09,,,Ohio,FBS - AAC,20
38,32,Nicholas Petit-Frere,Ohio State,OT,2021-12-09,,,Ohio,Big Ten,20
39,32,Roger McCreary,Auburn,CB,2021-12-09,31,NEW ENGLAND PATRIOTS,Alabama,SEC,20
40,13,Jalen Wydermyer,Texas A&M,TE,2021-12-09,,,Texas,SEC,20
41,5,Myjai Sanders,Cincinnati,EDGE,2021-12-09,32,ARIZONA CARDINALS,Ohio,FBS - AAC,20
42,12,Jaxson Kirkland,Washington,OT,2021-12-09,,,Washington,Pac 12,20
43,22,Isaiah Spiller,Texas A&M,RB,2021-12-09,,,Texas,SEC,20
44,17,Jordan Battle,Alabama,S,2021-12-09,,,Alabama,SEC,20
45,43,Kenneth Walker III,Michigan State,RB,2021-12-09,,,Michigan,Big Ten,20
46,43,Zion Johnson,Boston College,IOL,2021-12-09,,,Massachusetts,ACC,20
47,47,Trey McBride,Colorado State,TE,2021-12-09,,,Colorado,FBS - Mountain West,20
48,16,Breece Hall,Iowa State,RB,2021-12-09,,,Iowa,Big 12,20
49,21,George Pickens,Georgia,WR,2021-12-09,,,Georgia,SEC,20
50,25,Nik Bonitto,Oklahoma,EDGE,2021-12-09,,,Oklahoma,Big 12,20
51,30,Brandon Smith,Penn State,LB,2021-12-09,,,Pennsylvania,Big Ten,20
52,40,David Bell,Purdue,WR,2021-12-09,,,Indiana,Big Ten,20
53,22,Thayer Munford,Ohio State,IOL,2021-12-09,,,Ohio,Big Ten,20
54,23,Sean Rhyan,UCLA,OT,2021-12-09,,,California,Pac 12,20
55,7,Christian Harris,Alabama,LB,2021-12-09,,,Alabama,SEC,20
56,15,Zach Harrison,Ohio State,EDGE,2021-12-09,,,Ohio,Big Ten,20
57,1,Derion Kendrick,Georgia,CB,2021-12-09,,,Georgia,SEC,20
58,48,Jalen Catalon,Arkansas,S,2021-12-09,,,Arkansas,SEC,20
59,59,Bernhard Raimann,Central Michigan,OT,2021-12-09,,,Michigan,FBS - MAC,20
60,19,Brandon Joseph,Northwestern,S,2021-12-09,,,Illinois,Big Ten,15
61,48,Kyren Williams,Notre Dame,RB,2021-12-09,,,Indiana,FBS - Independent,15
62,57,Martin Emerson,Mississippi State,CB,2021-12-09,,,Mississippi,SEC,15
63,3,Daniel Faalele,Minnesota,OT,2021-12-09,,,Minnesota,Big Ten,15
64,55,Lewis Cine,Georgia,S,2021-12-09,,,Georgia,SEC,15
65,65,Travon Walker,Georgia,DL,2021-12-09,,,Georgia,SEC,15
66,6,Josh Jobe,Alabama,CB,2021-12-09,,,Alabama,SEC,15
67,63,Wan'Dale Robinson,Kentucky,WR,2021-12-09,,,Kentucky,SEC,15
68,21,Perrion Winfrey,Oklahoma,DL,2021-12-09,,,Oklahoma,Big 12,15
69,64,Khalil Shakir,Boise State,WR,2021-12-09,,,Idaho,FBS - Mountain West,15
70,17,John Metchie III,Alabama,WR,2021-12-09,,,Alabama,SEC,15
71,70,Jermaine Johnson,Florida State,EDGE,2021-12-09,,,Florida,ACC,10
72,46,Henry To'oto'o,Alabama,LB,2021-12-09,,,Alabama,SEC,10
73,66,Jalen Tolbert,South Alabama,WR,2021-12-09,,,Alabama,FBS - Sun Belt,10
74,17,Zion Nelson,Miami (FL),OT,2021-12-09,,,Florida,ACC,10
75,68,Kyler Gordon,Washington,CB,2021-12-09,,,Washington,Pac 12,10
76,70,Arnold Ebiketie,Penn State,EDGE,2021-12-09,,,Pennsylvania,Big Ten,10
77,58,Zach Charbonnet,UCLA,RB,2021-12-09,,,California,Pac 12,10
78,54,Jeremy Ruckert,Ohio State,TE,2021-12-09,,,Ohio,Big Ten,10
79,11,Phidarian Mathis,Alabama,DL,2021-12-09,,,Alabama,SEC,10
80,39,Romeo Doubs,Nevada,WR,2021-12-09,,,Nevada,FBS - Mountain West,10
81,40,Mykael Wright,Oregon,CB,2021-12-09,,,Oregon,Pac 12,10
82,4,Brenton Cox Jr.,Florida,EDGE,2021-12-09,,,Florida,SEC,10
83,62,Travis Jones,UConn,DL,2021-12-09,,,Connecticut,FBS - AAC,10
84,66,Devonte Wyatt,Georgia,DL,2021-12-09,,,Georgia,SEC,10
85,4,Justyn Ross,Clemson,WR,2021-12-09,,,South Carolina,ACC,10
86,12,Charlie Kolar,Iowa State,TE,2021-12-09,,,Iowa,Big 12,10
87,87,Logan Hall,Houston,DL,2021-12-09,,,Texas,FBS - AAC,10
88,73,Coby Bryant,Cincinnati,CB,2021-12-09,,,Ohio,FBS - AAC,10
89,89,Cameron Thomas,San Diego State,EDGE,2021-12-09,,,California,FBS - Mountain West,10
90,8,Abraham Lucas,Washington State,OT,2021-12-09,,,Washington,Pac 12,10
91,12,Alec Lindstrom,Boston College,IOL,2021-12-09,,,Massachusetts,ACC,10
92,45,Cade Otton,Washington,TE,2021-12-09,,,Washington,Pac 12,10
93,61,Jamaree Salyer,Georgia,IOL,2021-12-09,,,Georgia,SEC,10
94,70,Jaivon Heiligh,Coastal Carolina,WR,2021-12-09,,,South Carolina,FCS,10
95,37,Haskell Garrett,Ohio State,DL,2021-12-09,,,Ohio,Big Ten,10
96,74,Sam Williams,Ole Miss,EDGE,2021-12-09,,,Mississippi,SEC,10
97,97,Brian Robinson Jr.,Alabama,RB,2021-12-09,,,Alabama,SEC,10
98,74,Max Mitchell,Louisiana-Lafayette,OT,2021-12-09,,,Louisiana,FBS - Sun Belt,10
99,99,John Michael Schmitz,Minnesota,IOL,2021-12-09,,,Minnesota,Big Ten,10
100,99,Chad Muma,Wyoming,LB,2021-12-09,,,Wyoming,FBS - Mountain West,10
101,68,Tyler Davis,Clemson,DL,2021-12-09,,,South Carolina,ACC,8
102,81,Zakoby McClain,Auburn,LB,2021-12-09,,,Alabama,SEC,8
103,88,Isaiah Foskey,Notre Dame,EDGE,2021-12-09,,,Indiana,FBS - Independent,8
104,93,Grayson McCall,Coastal Carolina,QB,2021-12-09,,,South Carolina,FCS,8
105,92,Rachaad White,Arizona State,RB,2021-12-09,,,Arizona,Pac 12,8
106,80,Zachary Carter,Florida,EDGE,2021-12-09,,,Florida,SEC,8
107,107,Marcus Jones,Houston,CB,2021-12-09,,,Texas,FBS - AAC,8
108,97,James Cook,Georgia,RB,2021-12-09,,,Georgia,SEC,8
109,109,JoJo Domann,Nebraska,LB,2021-12-09,,,Nebraska,Big Ten,8
110,86,Smoke Monday,Auburn,S,2021-12-09,,,Alabama,SEC,8
111,59,Isaiah Likely,Coastal Carolina,TE,2021-12-09,,,South Carolina,FCS,8
112,36,DeMarvion Overshown,Texas,LB,2021-12-09,,,Texas,Big 12,8
113,52,Verone McKinley III,Oregon,S,2021-12-09,,,Oregon,Pac 12,8
114,114,Bailey Zappe,Western Kentucky,QB,2021-12-09,,,Kentucky,FBS - CUSA,8
115,99,Riley Moss,Iowa,CB,2021-12-09,,,Iowa,Big Ten,8
116,64,Zay Flowers,Boston College,WR,2021-12-09,,,Massachusetts,ACC,8
117,79,Josh Whyle,Cincinnati,TE,2021-12-09,,,Ohio,FBS - AAC,8
118,118,Derick Hall,Auburn,EDGE,2021-12-09,,,Alabama,SEC,8
119,57,Ed Ingram,LSU,IOL,2021-12-09,,,Louisiana,SEC,8
120,51,Nolan Smith,Georgia,EDGE,2021-12-09,,,Georgia,SEC,8
121,100,Logan Bruss,Wisconsin,IOL,2021-12-09,,,Wisconsin,Big Ten,7
122,72,Leo Chenal,Wisconsin,LB,2021-12-09,,,Wisconsin,Big Ten,7
123,26,Damone Clark,LSU,LB,2021-12-09,,,Louisiana,SEC,7
124,101,Chris Rodriguez Jr.,Kentucky,RB,2021-12-09,,,Kentucky,SEC,7
125,107,Dontario Drummond,Ole Miss,WR,2021-12-09,,,Mississippi,SEC,7
126,54,Jarrett Patterson,Notre Dame,IOL,2021-12-09,,,Indiana,FBS - Independent,7
127,43,Tykee Smith,Georgia,S,2021-12-09,,,Georgia,SEC,7
128,59,Isaiah Thomas,Oklahoma,EDGE,2021-12-09,,,Oklahoma,Big 12,7
129,129,Channing Tindall,Georgia,LB,2021-12-09,,,Georgia,SEC,7
130,47,Tre'Vius Hodges-Tomlinson,TCU,CB,2021-12-09,,,Texas,Big 12,7
131,82,Cole Turner,Nevada,TE,2021-12-09,,,Nevada,FBS - Mountain West,7
132,21,Jahleel Billingsley,Alabama,TE,2021-12-09,,,Alabama,SEC,7
133,90,Braxton Jones,Southern Utah,OT,2021-12-09,,,Utah,FCS,7
134,40,Dohnovan West,Arizona State,IOL,2021-12-09,,,Arizona,Pac 12,7
135,75,Jermayne Lole,Arizona State,DL,2021-12-09,,,Arizona,Pac 12,7
136,85,Tyler Smith,Tulsa,IOL,2021-12-09,,,Oklahoma,FBS - AAC,7
137,47,Zion Tupuola-Fetui,Washington,EDGE,2021-12-09,,,Washington,Pac 12,7
138,5,Jake Ferguson,Wisconsin,TE,2021-12-09,,,Wisconsin,Big Ten,7
139,124,Dontay Demus Jr.,Maryland,WR,2021-12-09,,,Maryland,Big Ten,7
140,72,Edefuan Ulofoshio,Washington,LB,2021-12-09,,,Washington,Pac 12,7
141,97,Tanner McKee,Stanford,QB,2021-12-09,,,California,Pac 12,7
142,142,Josh Paschal,Kentucky,EDGE,2021-12-09,,,Kentucky,SEC,7
143,110,Kellen Diesch,Arizona State,OT,2021-12-09,,,Arizona,Pac 12,7
144,105,Alontae Taylor,Tennessee,CB,2021-12-09,,,Tennessee,SEC,7
145,60,Myron Cunningham,Arkansas,OT,2021-12-09,,,Arkansas,SEC,7
146,3,Bubba Bolden,Miami (FL),S,2021-12-09,,,Florida,ACC,7
147,147,Sam Hartman,Wake Forest,QB,2021-12-09,,,North Carolina,ACC,7
148,148,Darrian Beavers,Cincinnati,LB,2021-12-09,,,Ohio,FBS - AAC,7
149,149,Kyu Blu Kelly,Stanford,CB,2021-12-09,,,California,Pac 12,7
150,68,Akayleb Evans,Missouri,CB,2021-12-09,,,Missouri,SEC,7
151,19,Sevyn Banks,Ohio State,CB,2021-12-09,,,Ohio,Big Ten,6
152,115,Storm Duck,North Carolina,CB,2021-12-09,,,North Carolina,ACC,6
153,97,Christopher Hinton,Michigan,DL,2021-12-09,,,Michigan,Big Ten,6
154,22,Adam Anderson,Georgia,EDGE,2021-12-09,,,Georgia,SEC,6
155,155,Alec Pierce,Cincinnati,WR,2021-12-09,,,Ohio,FBS - AAC,6
156,92,Mike Rose,Iowa State,LB,2021-12-09,,,Iowa,Big 12,6
157,99,Tyler Allgeier,BYU,RB,2021-12-09,,,Utah,FBS - Independent,6
158,123,Zacch Pickens,South Carolina,DL,2021-12-09,,,South Carolina,SEC,6
159,7,Zamir White,Georgia,RB,2021-12-09,,,Georgia,SEC,6
160,102,Neil Farrell Jr.,LSU,DL,2021-12-09,,,Louisiana,SEC,6
161,144,Jalen Pitre,Baylor,S,2021-12-09,,,Texas,Big 12,6
162,104,Brennan Armstrong,Virginia,QB,2021-12-09,,,Virginia,ACC,6
163,59,Obinna Eze,TCU,OT,2021-12-09,,,Texas,Big 12,6
164,48,Ventrell Miller,Florida,LB,2021-12-09,,,Florida,SEC,6
165,104,Amare Barno,Virginia Tech,EDGE,2021-12-09,,,Virginia,ACC,6
166,166,Grant Calcaterra,SMU,TE,2021-12-09,,,Texas,FBS - AAC,6
167,106,A.J. Hampton,Northwestern,CB,2021-12-09,,,Illinois,Big Ten,6
168,168,Pierre Strong Jr.,South Dakota State,RB,2021-12-09,,,South Dakota,FCS,6
169,87,Jalen Green,Mississippi State,CB,2021-12-09,,,Mississippi,SEC,6
170,109,Gerrit Prince,UAB,TE,2021-12-09,,,Alabama,FBS - CUSA,6
171,126,Tariq Castro-Fields,Penn State,CB,2021-12-09,,,Pennsylvania,Big Ten,6
172,110,Ja'Quan McMillian,East Carolina,CB,2021-12-09,,,North Carolina,FBS - AAC,6
173,112,Dawand Jones,Ohio State,OT,2021-12-09,,,Ohio,Big Ten,6
174,113,Antonio Johnson,Texas A&M,CB,2021-12-09,,,Texas,SEC,6
175,58,Ricky Stromberg,Arkansas,IOL,2021-12-09,,,Arkansas,SEC,6
176,100,Jaquarii Roberson,Wake Forest,WR,2021-12-09,,,North Carolina,ACC,6
177,169,Quay Walker,Georgia,LB,2021-12-09,,,Georgia,SEC,6
178,115,Mataeo Durant,Duke,RB,2021-12-09,,,North Carolina,ACC,6
179,68,Jerrion Ealy,Ole Miss,RB,2021-12-09,,,Mississippi,SEC,6
180,57,Nick Broeker,Ole Miss,OT,2021-12-09,,,Mississippi,SEC,6
181,65,Boye Mafe,Minnesota,EDGE,2021-12-09,,,Minnesota,Big Ten,5
182,118,Dorian Williams,Tulane,LB,2021-12-09,,,Louisiana,FBS - AAC,5
183,53,Quentin Lake,UCLA,S,2021-12-09,,,California,Pac 12,5
184,184,Cole Strange,Chattanooga,IOL,2021-12-09,,,Tennessee,FCS,5
185,42,Owen Pappoe,Auburn,LB,2021-12-09,,,Alabama,SEC,5
186,186,Tariq Woolen,UTSA,CB,2021-12-09,,,Texas,FBS - CUSA,5
187,187,Xavier Hutchinson,Iowa State,WR,2021-12-09,,,Iowa,Big 12,5
188,93,Emil Ekiyor Jr.,Alabama,IOL,2021-12-09,,,Alabama,SEC,5
189,91,Zonovan Knight,NC State,RB,2021-12-09,,,North Carolina,ACC,5
190,66,Reggie Roberson Jr.,SMU,WR,2021-12-09,,,Texas,FBS - AAC,5
191,98,Calvin Austin III,Memphis,WR,2021-12-09,,,Tennessee,FBS - AAC,5
192,192,Bryan Cook,Cincinnati,S,2021-12-09,,,Ohio,FBS - AAC,5
193,193,Jerome Ford,Cincinnati,RB,2021-12-09,,,Ohio,FBS - AAC,5
194,194,Dare Rosenthal,Kentucky,OT,2021-12-09,,,Kentucky,SEC,5
195,195,Christian Watson,North Dakota State,WR,2021-12-09,,,North Dakota,FCS,5
196,196,Hassan Haskins,Michigan,RB,2021-12-09,,,Michigan,Big Ten,5
197,110,Ellis Brooks,Penn State,LB,2021-12-09,,,Pennsylvania,Big Ten,5
198,78,Eric Gray,Oklahoma,RB,2021-12-09,,,Oklahoma,Big 12,5
199,67,Ty Fryfogle,Indiana,WR,2021-12-09,,,Indiana,Big Ten,5
200,68,Allie Green IV,Missouri,CB,2021-12-09,,,Missouri,SEC,5
201,187,Jalen Cropper,Fresno State,WR,2021-12-09,,,California,FBS - Mountain West,5
202,202,Dominique Robinson,Miami (OH),EDGE,2021-12-09,,,Ohio,FBS - MAC,5
203,76,Jermaine Waller,Virginia Tech,CB,2021-12-09,,,Virginia,ACC,5
204,204,Brad Hawkins,Michigan,S,2021-12-09,,,Michigan,Big Ten,5
205,143,Justin Shaffer,Georgia,IOL,2021-12-09,,,Georgia,SEC,5
206,13,Tyreke Smith,Ohio State,EDGE,2021-12-09,,,Ohio,Big Ten,5
207,101,Tre Turner,Virginia Tech,WR,2021-12-09,,,Virginia,ACC,5
208,208,Carter Warren,Pitt,OT,2021-12-09,,,Pennsylvania,ACC,5
209,10,Greg Eisworth II,Iowa State,S,2021-12-09,,,Iowa,Big 12,5
210,210,Jaylen Watson,Washington State,CB,2021-12-09,,,Washington,Pac 12,5
