Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Aidan Hutchinson,Michigan,EDGE,2022-03-17,1,JACKSONVILLE JAGUARS,Michigan,Big Ten,35
2,1,Evan Neal,Alabama,OT,2022-03-17,3,HOUSTON TEXANS,Alabama,SEC,35
3,3,Ikem Ekwonu,NC State,OT,2022-03-17,First Round,,North Carolina,ACC,35
4,1,Kayvon Thibodeaux,Oregon,EDGE,2022-03-17,2,DETROIT LIONS,Oregon,Pac 12,35
5,2,Kyle Hamilton,Notre Dame,S,2022-03-17,4,NEW YORK JETS,Indiana,FBS - Independent,35
6,6,Ahmad Gardner,Cincinnati,CB,2022-03-17,9,SEATTLE SEAHAWKS,Ohio,FBS - AAC,35
7,6,Charles Cross,Mississippi State,OT,2022-03-17,5,NEW YORK GIANTS,Mississippi,SEC,35
8,2,Derek Stingley Jr.,LSU,CB,2022-03-17,10,NEW YORK JETS,Louisiana,SEC,35
9,6,Malik Willis,Liberty,QB,2022-03-17,6,CAROLINA PANTHERS,Virginia,FCS,35
10,8,Garrett Wilson,Ohio State,WR,2022-03-17,8,ATLANTA FALCONS,Ohio,Big Ten,35
11,11,Travon Walker,Georgia,EDGE,2022-03-17,7,NEW YORK GIANTS,Georgia,SEC,30
12,10,David Ojabo,Michigan,EDGE,2022-03-17,15,PHILADELPHIA EAGLES,Michigan,Big Ten,30
13,13,Jermaine Johnson,Florida State,EDGE,2022-03-17,12,MINNESOTA VIKINGS,Florida,ACC,30
14,1,Jordan Davis,Georgia,DL,2022-03-17,17,LOS ANGELES CHARGERS,Georgia,SEC,30
15,9,Kenny Pickett,Pitt,QB,2022-03-17,18,NEW ORLEANS SAINTS,Pennsylvania,ACC,30
16,7,Tyler Linderbaum,Iowa,IOL,2022-03-17,24,DALLAS COWBOYS,Iowa,Big Ten,30
17,6,George Karlaftis,Purdue,EDGE,2022-03-17,First Round,,Indiana,Big Ten,30
18,18,Trevor Penning,Northern Iowa,OT,2022-03-17,14,BALTIMORE RAVENS,Iowa,FCS,30
19,12,Drake London,USC,WR,2022-03-17,11,WASHINGTON COMMANDERS,California,Pac 12,30
20,10,Devin Lloyd,Utah,LB,2022-03-17,16,PHILADELPHIA EAGLES,Utah,Pac 12,30
21,10,Chris Olave,Ohio State,WR,2022-03-17,13,CLEVELAND BROWNS,Ohio,Big Ten,30
22,12,Jameson Williams,Alabama,WR,2022-03-17,25,BUFFALO BILLS,Alabama,SEC,30
23,11,Treylon Burks,Arkansas,WR,2022-03-17,28,GREEN BAY PACKERS,Arkansas,SEC,30
24,19,Trent McDuffie,Washington,CB,2022-03-17,21,NEW ENGLAND PATRIOTS,Washington,Pac 12,30
25,6,Andrew Booth Jr.,Clemson,CB,2022-03-17,23,ARIZONA CARDINALS,South Carolina,ACC,30
26,5,Kenyon Green,Texas A&M,IOL,2022-03-17,29,MIAMI DOLPHINS,Texas,SEC,25
27,16,Nakobe Dean,Georgia,LB,2022-03-17,19,PHILADELPHIA EAGLES,Georgia,SEC,25
28,28,Zion Johnson,Boston College,IOL,2022-03-17,27,TAMPA BAY BUCCANEERS,Massachusetts,ACC,25
