Rank,Peak,PlayerName,School,Position,RankingDateString,Projection,ProjectedTeam,State,Conference,ProjectedPoints
1,1,Aidan Hutchinson,Michigan,EDGE,2022-03-25,1,JACKSONVILLE JAGUARS,Michigan,Big Ten,35
2,1,Evan Neal,Alabama,OT,2022-03-25,3,HOUSTON TEXANS,Alabama,SEC,35
3,1,Kayvon Thibodeaux,Oregon,EDGE,2022-03-25,2,DETROIT LIONS,Oregon,Pac 12,35
4,3,Ikem Ekwonu,NC State,OT,2022-03-25,4,NEW YORK JETS,North Carolina,ACC,35
5,2,Kyle Hamilton,Notre Dame,S,2022-03-25,5,NEW YORK GIANTS,Indiana,FBS - Independent,35
6,6,Ahmad Gardner,Cincinnati,CB,2022-03-25,7,NEW YORK GIANTS,Ohio,FBS - AAC,35
7,7,Charles Cross,Mississippi State,OT,2022-03-25,9,SEATTLE SEAHAWKS,Mississippi,SEC,35
8,8,Travon Walker,Georgia,EDGE,2022-03-25,First Round,,Georgia,SEC,35
9,8,Garrett Wilson,Ohio State,WR,2022-03-25,8,ATLANTA FALCONS,Ohio,Big Ten,35
10,2,Derek Stingley Jr.,LSU,CB,2022-03-25,11,WASHINGTON COMMANDERS,Louisiana,SEC,35
11,11,Jermaine Johnson,Florida State,EDGE,2022-03-25,12,MINNESOTA VIKINGS,Florida,ACC,30
12,5,Malik Willis,Liberty,QB,2022-03-25,20,PITTSBURGH STEELERS,Virginia,FCS,30
13,12,Drake London,USC,WR,2022-03-25,10,NEW YORK JETS,California,Pac 12,30
14,6,George Karlaftis,Purdue,EDGE,2022-03-25,19,PHILADELPHIA EAGLES,Indiana,Big Ten,30
15,12,Jordan Davis,Georgia,DL,2022-03-25,14,BALTIMORE RAVENS,Georgia,SEC,30
16,8,Tyler Linderbaum,Iowa,IOL,2022-03-25,24,DALLAS COWBOYS,Iowa,Big Ten,30
17,15,Trevor Penning,Northern Iowa,OT,2022-03-25,17,LOS ANGELES CHARGERS,Iowa,FCS,30
18,10,Devin Lloyd,Utah,LB,2022-03-25,13,HOUSTON TEXANS,Utah,Pac 12,30
19,9,Chris Olave,Ohio State,WR,2022-03-25,18,NEW ORLEANS SAINTS,Ohio,Big Ten,30
20,15,Jameson Williams,Alabama,WR,2022-03-25,22,GREEN BAY PACKERS,Alabama,SEC,30
21,9,David Ojabo,Michigan,EDGE,2022-03-25,30,KANSAS CITY CHIEFS,Michigan,Big Ten,30
22,10,Treylon Burks,Arkansas,WR,2022-03-25,15,PHILADELPHIA EAGLES,Arkansas,SEC,30
23,9,Kenny Pickett,Pitt,QB,2022-03-25,6,CAROLINA PANTHERS,Pennsylvania,ACC,30
24,15,Nakobe Dean,Georgia,LB,2022-03-25,21,NEW ENGLAND PATRIOTS,Georgia,SEC,30
25,6,Andrew Booth Jr.,Clemson,CB,2022-03-25,29,KANSAS CITY CHIEFS,South Carolina,ACC,30
26,5,Kenyon Green,Texas A&M,IOL,2022-03-25,23,ARIZONA CARDINALS,Texas,SEC,25
27,22,Trent McDuffie,Washington,CB,2022-03-25,16,PHILADELPHIA EAGLES,Washington,Pac 12,25
28,27,Zion Johnson,Boston College,IOL,2022-03-25,25,BUFFALO BILLS,Massachusetts,ACC,25
29,28,Devonte Wyatt,Georgia,DL,2022-03-25,27,TAMPA BAY BUCCANEERS,Georgia,SEC,25
